MARSH ISLAND,116,29.5606,0,LA,114.16079,-91.8688,0,"-91.816962,29.477024,0.0 -92.033061,29.5771,0.0 -91.705338,29.569402,0.0 -91.816962,29.477024,0.0"
CHANDELEUR ISLANDS,122,29.8798,0,LA,9.29812,-88.8463,0,"-88.852024,29.778975,0.0 -88.818305,29.935903,0.0 -88.880864,30.05275,0.0 -88.817457,29.943325,0.0 -88.852024,29.778975,0.0"
METAIRIE,70001,29.9836,39237,LA,6.18538,-90.1678,39403,"-90.178899,29.971907,0.0 -90.205842,29.973557,0.0 -90.198144,30.0005,0.0 -90.177249,29.998851,0.0 -90.145907,29.997201,0.0 -90.125561,29.972457,0.0 -90.127761,29.968058,0.0 -90.178899,29.971907,0.0"
METAIRIE,70002,30.0098,19497,LA,3.196,-90.1623,19423,"-90.144807,30.019196,0.0 -90.145907,29.997201,0.0 -90.177249,29.998851,0.0 -90.181098,30.022495,0.0 -90.144807,30.019196,0.0"
METAIRIE,70003,29.9984,43027,LA,6.92708,-90.2141,43348,"-90.233886,29.975206,0.0 -90.228387,30.008748,0.0 -90.221239,30.034042,0.0 -90.208042,30.029643,0.0 -90.198144,30.0005,0.0 -90.205842,29.973557,0.0 -90.233886,29.975206,0.0"
METAIRIE,70006,30.0134,15984,LA,2.57615,-90.1917,16656,"-90.177249,29.998851,0.0 -90.198144,30.0005,0.0 -90.208042,30.029643,0.0 -90.181098,30.022495,0.0 -90.177249,29.998851,0.0"
DES ALLEMANDS,70030,29.7909,4294,LA,81.49446,-90.4092,4274,"-90.573706,29.74866,0.0 -90.486826,29.854235,0.0 -90.454384,29.859184,0.0 -90.414243,29.860833,0.0 -90.380151,29.860833,0.0 -90.250382,29.770105,0.0 -90.347709,29.695322,0.0 -90.467581,29.803647,0.0 -90.573706,29.74866,0.0"
AMA,70031,29.8529,1304,LA,70.07321,-90.2815,1309,"-90.278425,29.962559,0.0 -90.17505,29.827291,0.0 -90.250382,29.770105,0.0 -90.380151,29.860833,0.0 -90.356507,29.891076,0.0 -90.283924,29.87623,0.0 -90.336712,29.930667,0.0 -90.278425,29.962559,0.0"
ARABI,70032,29.9689,7970,LA,3.90717,-89.9886,8093,"-89.966649,29.984554,0.0 -89.995242,29.940564,0.0 -90.010639,29.949912,0.0 -89.996342,29.973557,0.0 -89.966649,29.984554,0.0"
BARATARIA,70036,29.6876,1332,LA,26.26555,-90.1475,1333,"-90.142607,29.740412,0.0 -90.158554,29.5771,0.0 -90.188796,29.683225,0.0 -90.190996,29.685425,0.0 -90.153605,29.739862,0.0 -90.142607,29.740412,0.0"
