VOYAGEURS NATL PARK,59,48.408,65,MN,387.73093,-92.7802,20,"-92.45866,48.335916,0.0 -92.71215,48.238589,0.0 -92.822124,48.205597,0.0 -92.927149,48.36066,0.0 -92.784733,48.415097,0.0 -93.011829,48.425545,0.0 -93.090461,48.499777,0.0 -93.089911,48.595455,0.0 -92.654964,48.533319,0.0 -92.714899,48.468985,0.0 -92.45646,48.413998,0.0 -92.45866,48.335916,0.0"
SUPERIOR NATIONAL FOREST,60,48.117,37,MN,662.8281,-92.1379,30,"-92.425668,47.975201,0.0 -92.452611,48.160508,0.0 -92.334389,48.23419,0.0 -92.2893,48.345264,0.0 -92.075401,48.36011,0.0 -91.798266,48.202848,0.0 -91.799916,48.060431,0.0 -92.16118,47.887222,0.0 -92.425668,47.975201,0.0"
SUPERIOR NATIONAL FOREST,160,47.9465,322,MN,526.14478,-90.7457,257," -90.76506,47.610088,0.0 -90.76671,47.911966,0.0 -90.895379,47.887772,0.0 -91.02075,47.887772,0.0 -91.026249,47.888322,0.0 -91.031747,48.188551,0.0 -90.898679,48.240239,0.0 -90.778807,48.036237,0.0 -90.388949,47.983449,0.0 -90.663334,47.916365,0.0 -90.389499,47.877325,0.0 -90.55666,47.760752,0.0 -90.707324,47.635932,0.0 -90.76506,47.610088,0.0 -90.535764,47.729959,0.0 -90.410394,47.736008,0.0 -90.522568,47.706865,0.0 -90.535764,47.729959,0.0"
SUPERIOR NATIONAL FOREST,161,48.0093,240,MN,527.71898,-91.4014,175,"-91.026249,47.888322,0.0 -91.27589,47.887772,0.0 -91.589315,47.891071,0.0 -91.797716,47.932312,0.0 -91.799916,48.060431,0.0 -91.798266,48.202848,0.0 -91.567871,48.043935,0.0 -91.031747,48.188551,0.0 -91.026249,47.888322,0.0"
NORTHWEST BELTRAMI CNTY,164,48.4523,43,MN,215.0733,-95.4069,43,"-95.342728,48.540468,0.0 -95.211309,48.535519,0.0 -95.21021,48.366159,0.0 -95.601167,48.365609,0.0 -95.602267,48.538818,0.0 -95.601717,48.538818,0.0 -95.342728,48.540468,0.0"
BELTRAMI ISL STATE FOR,165,48.535,23,MN,582.56177,-95.0079,23,"-94.559713,48.367259,0.0 -95.20691,48.366159,0.0 -95.21021,48.366159,0.0 -95.211309,48.535519,0.0 -95.342728,48.540468,0.0 -95.330081,48.713127,0.0 -94.958369,48.713677,0.0 -94.821451,48.670787,0.0 -94.746669,48.432143,0.0 -94.559713,48.367259,0.0"
RED LAKE INDIAN RES,166,48.2104,26,MN,696.70119,-95.0502,25,"-95.583021,48.020291,0.0 -95.593469,48.173155,0.0 -95.204711,48.1935,0.0 -95.20691,48.366159,0.0 -94.559713,48.367259,0.0 -94.428844,48.367259,0.0 -94.424445,48.27928,0.0 -94.553665,48.200648,0.0 -95.229455,48.019741,0.0 -95.484595,48.020841,0.0 -95.583021,48.020291,0.0"
AFTON,55001,44.9023,2888,MN,26.99644,-92.8195,2851,"-92.862265,44.861837,0.0 -92.862814,44.948717,0.0 -92.843019,44.948717,0.0 -92.781434,44.949267,0.0 -92.767687,44.904177,0.0 -92.763838,44.875034,0.0 -92.769337,44.862387,0.0 -92.862265,44.848091,0.0 -92.862265,44.861837,0.0"
BETHEL,55005,45.3921,3417,MN,19.46008,-93.2226,3288,"-93.120703,45.374866,0.0 -93.143248,45.374866,0.0 -93.34725,45.374866,0.0 -93.34725,45.377615,0.0 -93.271368,45.413907,0.0 -93.142148,45.413357,0.0 -93.120703,45.374866,0.0"
BRAHAM,55006,45.7358,2810,MN,58.57626,-93.2335,2700,"-93.064617,45.731182,0.0 -93.09266,45.716885,0.0 -93.34835,45.687192,0.0 -93.38904,45.720734,0.0 -93.379142,45.730632,0.0 -93.224629,45.795517,0.0 -93.142148,45.791118,0.0 -93.064617,45.731182,0.0"
