ASSATEAGUE ISLAND NTL SE,152,38.1508,0,MD,13.60722,-75.181,0,"-75.242209,38.027372,0.0 -75.250754,38.026688,0.0 -75.087365,38.322704,0.0 -75.242209,38.027372,0.0"
WALDORF,20601,38.6197,23304,MD,50.32763,-76.8598,22353,"-76.740059,38.56061,0.0 -76.740743,38.559242,0.0 -76.814234,38.550355,0.0 -76.852859,38.559584,0.0 -76.860379,38.565053,0.0 -76.910627,38.626581,0.0 -77.001209,38.654952,0.0 -76.981041,38.68845,0.0 -76.95643,38.704174,0.0 -76.740059,38.56061,0.0"
WALDORF,20602,38.5893,21706,MD,12.01433,-76.8952,21516,"-76.905499,38.547279,0.0 -76.937289,38.598893,0.0 -76.910627,38.626581,0.0 -76.860379,38.565053,0.0 -76.905499,38.547279,0.0"
WALDORF,20603,38.6309,21944,MD,14.50211,-76.9739,20734,"-76.937289,38.598893,0.0 -77.047354,38.617352,0.0 -77.001209,38.654952,0.0 -76.910627,38.626581,0.0 -76.937289,38.598893,0.0"
ACCOKEEK,20607,38.6689,7141,MD,16.81322,-77.0304,6926,"-77.047354,38.617352,0.0 -77.048038,38.616326,0.0 -77.076067,38.690501,0.0 -77.003943,38.694944,0.0 -76.985827,38.699388,0.0 -76.981041,38.68845,0.0 -77.001209,38.654952,0.0 -77.047354,38.617352,0.0"
AQUASCO,20608,38.5884,1019,MD,17.60658,-76.7096,1017,"-76.701775,38.54557,0.0 -76.740743,38.559242,0.0 -76.740059,38.56061,0.0 -76.750997,38.619061,0.0 -76.674088,38.618035,0.0 -76.701775,38.54557,0.0"
BEL ALTON,20611,38.4749,712,MD,2.85482,-76.9785,708,"-76.991296,38.458748,0.0 -77.001892,38.463533,0.0 -76.969761,38.469344,0.0 -76.991296,38.458748,0.0"
BRANDYWINE,20613,38.6741,9095,MD,80.08084,-76.8037,8442,"-76.674088,38.618035,0.0 -76.750997,38.619061,0.0 -76.740059,38.56061,0.0 -76.95643,38.704174,0.0 -76.857303,38.735279,0.0 -76.822096,38.738355,0.0 -76.701775,38.710326,0.0 -76.692888,38.684348,0.0 -76.686735,38.630341,0.0 -76.672721,38.618035,0.0 -76.674088,38.618035,0.0"
BRYANS ROAD,20616,38.6532,4865,MD,11.03662,-77.0858,4694,"-77.048038,38.616326,0.0 -77.108198,38.628973,0.0 -77.076067,38.690501,0.0 -77.048038,38.616326,0.0"
BRYANTOWN,20617,38.5407,595,MD,6.2546,-76.8536,885,"-76.814234,38.550355,0.0 -76.901739,38.527453,0.0 -76.852859,38.559584,0.0 -76.814234,38.550355,0.0"
BUSHWOOD,20618,38.2892,903,MD,9.19549,-76.7887,902,"-76.814234,38.30322,0.0 -76.759201,38.296042,0.0 -76.784837,38.259809,0.0 -76.814234,38.30322,0.0"
CALLAWAY,20620,38.2325,921,MD,4.73984,-76.5234,1736,"-76.500786,38.237591,0.0 -76.513091,38.210587,0.0 -76.515142,38.211271,0.0 -76.5336,38.252289,0.0 -76.500786,38.237591,0.0"
CHAPTICO,20621,38.334,1028,MD,13.80247,-76.7907,993,"-76.759201,38.296042,0.0 -76.814234,38.30322,0.0 -76.803296,38.358595,0.0 -76.756466,38.365431,0.0 -76.739375,38.309373,0.0 -76.759201,38.296042,0.0"
CHARLOTTE HALL,20622,38.4529,3596,MD,34.81097,-76.8459,3667,"-76.921907,38.385598,0.0 -76.938656,38.415337,0.0 -76.853543,38.4837,0.0 -76.707928,38.5025,0.0 -76.852518,38.455671,0.0 -76.872001,38.389016,0.0 -76.921907,38.385598,0.0"
CHELTENHAM,20623,38.7429,2222,MD,1.78771,-76.8379,2412,"-76.857303,38.735279,0.0 -76.842605,38.753395,0.0 -76.822096,38.738355,0.0 -76.857303,38.735279,0.0"
CLEMENTS,20624,38.337,741,MD,8.42594,-76.7362,715,"-76.739375,38.309373,0.0 -76.756466,38.365431,0.0 -76.709637,38.355518,0.0 -76.72707,38.312107,0.0 -76.728437,38.295016,0.0 -76.739375,38.309373,0.0"
DAMERON,20628,38.1506,326,MD,6.59554,-76.3503,326,"-76.353462,38.121372,0.0 -76.370553,38.154187,0.0 -76.378415,38.166151,0.0 -76.353462,38.178114,0.0 -76.353462,38.121372,0.0"
DRAYDEN,20630,38.1728,524,MD,8.44444,-76.4736,512,"-76.501469,38.165809,0.0 -76.491899,38.198623,0.0 -76.46592,38.206827,0.0 -76.463869,38.127867,0.0 -76.501469,38.165809,0.0"
FAULKNER,20632,38.439,474,MD,6.56776,-76.9648,459,"-76.938656,38.415337,0.0 -76.991296,38.458748,0.0 -76.969761,38.469344,0.0 -76.938656,38.415337,0.0"
GREAT MILLS,20634,38.2428,5926,MD,6.89836,-76.4948,5211,"-76.46592,38.206827,0.0 -76.491899,38.198623,0.0 -76.513091,38.210587,0.0 -76.500786,38.237591,0.0 -76.482328,38.282369,0.0 -76.478909,38.2205,0.0 -76.46592,38.206827,0.0"
HOLLYWOOD,20636,38.3473,7573,MD,32.65669,-76.5744,7595,"-76.511724,38.322704,0.0 -76.577011,38.29946,0.0 -76.664859,38.344238,0.0 -76.661783,38.349365,0.0 -76.654604,38.353809,0.0 -76.592051,38.401664,0.0 -76.511724,38.322704,0.0"
HUGHESVILLE,20637,38.5246,4757,MD,32.1637,-76.7806,4590,"-76.700066,38.498399,0.0 -76.707928,38.5025,0.0 -76.853543,38.4837,0.0 -76.901739,38.527453,0.0 -76.814234,38.550355,0.0 -76.740743,38.559242,0.0 -76.701775,38.54557,0.0 -76.700066,38.498399,0.0"
HUNTINGTOWN,20639,38.609,13036,MD,43.34779,-76.6045,12644,"-76.516851,38.573941,0.0 -76.649819,38.565737,0.0 -76.672721,38.618035,0.0 -76.686735,38.630341,0.0 -76.608459,38.662813,0.0 -76.564022,38.640253,0.0 -76.511382,38.615984,0.0 -76.516851,38.573941,0.0"
INDIAN HEAD,20640,38.5524,8672,MD,42.09326,-77.1729,8401,"-77.108198,38.628973,0.0 -77.048038,38.616326,0.0 -77.056242,38.596159,0.0 -77.118794,38.590006,0.0 -77.159471,38.491904,0.0 -77.27022,38.492588,0.0 -77.108198,38.628973,0.0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-77.152293,38.544886,0.0 -77.13486,38.596842,0.0 -77.192286,38.564028,0.0 -77.152293,38.544886,0.0"
LA PLATA,20646,38.5217,16275,MD,87.42019,-77.0022,16073,"-77.001892,38.464217,0.0 -77.039834,38.54933,0.0 -77.083245,38.487802,0.0 -77.128365,38.47242,0.0 -77.159471,38.491904,0.0 -77.118794,38.590006,0.0 -77.056242,38.596159,0.0 -77.043936,38.59445,0.0 -77.039834,38.550013,0.0 -76.9807,38.592057,0.0 -76.905499,38.547279,0.0 -76.860379,38.565053,0.0 -76.852859,38.559584,0.0 -76.901739,38.527453,0.0 -76.853543,38.4837,0.0 -76.938656,38.415337,0.0 -76.969761,38.469344,0.0 -77.001892,38.463533,0.0 -77.001892,38.464217,0.0"
LUSBY,20657,38.3847,19059,MD,30.70193,-76.4414,18062,"-76.449171,38.350391,0.0 -76.470022,38.349024,0.0 -76.481302,38.441657,0.0 -76.455666,38.450544,0.0 -76.380466,38.384915,0.0 -76.421484,38.318944,0.0 -76.449171,38.350391,0.0"
MARBURY,20658,38.5712,915,MD,5.09269,-77.16,913,"-77.152293,38.544886,0.0 -77.192286,38.564028,0.0 -77.13486,38.596842,0.0 -77.152293,38.544886,0.0"
MECHANICSVILLE,20659,38.4188,21262,MD,99.34549,-76.7346,20799,"-76.709637,38.355518,0.0 -76.756466,38.365431,0.0 -76.803296,38.358595,0.0 -76.872001,38.389016,0.0 -76.852518,38.455671,0.0 -76.707928,38.5025,0.0 -76.700066,38.498399,0.0 -76.592051,38.401664,0.0 -76.654604,38.353809,0.0 -76.709637,38.355518,0.0"
NANJEMOY,20662,38.4332,2439,MD,59.11693,-77.1962,2664,"-77.128365,38.47242,0.0 -77.113325,38.409526,0.0 -77.215871,38.361329,0.0 -77.27022,38.492588,0.0 -77.159471,38.491904,0.0 -77.128365,38.47242,0.0"
NEWBURG,20664,38.3595,2924,MD,43.55881,-76.9267,2890,"-77.016249,38.445417,0.0 -77.001892,38.464217,0.0 -77.001892,38.463533,0.0 -76.991296,38.458748,0.0 -76.938656,38.415337,0.0 -76.921907,38.385598,0.0 -76.834059,38.272798,0.0 -76.919856,38.291256,0.0 -76.898321,38.307322,0.0 -77.016249,38.445417,0.0"
PATUXENT RIVER,20670,38.2835,2813,MD,9.75715,-76.4195,2838,"-76.399266,38.263911,0.0 -76.46216,38.296384,0.0 -76.373971,38.299118,0.0 -76.399266,38.263911,0.0"
POMFRET,20675,38.5785,1550,MD,7.2083,-77.019,1513,"-77.043936,38.59445,0.0 -76.9807,38.592057,0.0 -77.039834,38.550013,0.0 -77.043936,38.59445,0.0"
PORT REPUBLIC,20676,38.4895,3517,MD,16.55725,-76.5439,3409,"-76.596837,38.478915,0.0 -76.517193,38.537024,0.0 -76.492924,38.483017,0.0 -76.588291,38.454988,0.0 -76.596837,38.478915,0.0"
PORT TOBACCO,20677,38.4971,2348,MD,18.53483,-77.0407,2330,"-77.040518,38.444733,0.0 -77.083245,38.487802,0.0 -77.039834,38.54933,0.0 -77.001892,38.464217,0.0 -77.016249,38.445417,0.0 -77.040518,38.444733,0.0"
PRINCE FREDERICK,20678,38.5264,8788,MD,43.82741,-76.5967,8587,"-76.649819,38.565737,0.0 -76.516851,38.573941,0.0 -76.517193,38.537024,0.0 -76.596837,38.478915,0.0 -76.645717,38.467977,0.0 -76.649819,38.565737,0.0"
RIDGE,20680,38.117,1164,MD,7.68627,-76.3722,1162,"-76.330902,38.093001,0.0 -76.384226,38.090609,0.0 -76.391404,38.138463,0.0 -76.370553,38.154187,0.0 -76.353462,38.121372,0.0 -76.330902,38.093001,0.0"
SAINT INIGOES,20684,38.1454,1024,MD,8.74177,-76.4085,1022,"-76.409862,38.173329,0.0 -76.378415,38.166151,0.0 -76.370553,38.154187,0.0 -76.391404,38.138463,0.0 -76.422509,38.107016,0.0 -76.409862,38.173329,0.0"
SAINT LEONARD,20685,38.4406,5527,MD,22.50243,-76.5235,5334,"-76.588291,38.454988,0.0 -76.492924,38.483017,0.0 -76.455666,38.450544,0.0 -76.481302,38.441657,0.0 -76.501469,38.390726,0.0 -76.54112,38.426275,0.0 -76.553084,38.421831,0.0 -76.588291,38.454988,0.0"
SCOTLAND,20687,38.0753,338,MD,6.90633,-76.3489,339,"-76.384226,38.090609,0.0 -76.330902,38.093001,0.0 -76.321673,38.036601,0.0 -76.384226,38.090609,0.0"
SUNDERLAND,20689,38.6617,975,MD,4.7486,-76.5856,978,"-76.608459,38.662813,0.0 -76.564364,38.667599,0.0 -76.564022,38.640253,0.0 -76.608459,38.662813,0.0"
TALL TIMBERS,20690,38.16,532,MD,2.73846,-76.5307,517,"-76.548299,38.176747,0.0 -76.536335,38.177431,0.0 -76.518219,38.165467,0.0 -76.511382,38.151794,0.0 -76.534284,38.146325,0.0 -76.548299,38.176747,0.0"
VALLEY LEE,20692,38.1826,537,MD,5.25366,-76.5054,526,"-76.536335,38.177431,0.0 -76.515142,38.211271,0.0 -76.513091,38.210587,0.0 -76.491899,38.198623,0.0 -76.501469,38.165809,0.0 -76.518219,38.165467,0.0 -76.536335,38.177431,0.0"
WELCOME,20693,38.4552,583,MD,20.37491,-77.0888,580,"-77.128365,38.47242,0.0 -77.083245,38.487802,0.0 -77.040518,38.444733,0.0 -77.113325,38.409526,0.0 -77.128365,38.47242,0.0"
WHITE PLAINS,20695,38.5894,5009,MD,17.69413,-76.967,4810,"-77.043936,38.59445,0.0 -77.056242,38.596159,0.0 -77.048038,38.616326,0.0 -77.047354,38.617352,0.0 -76.937289,38.598893,0.0 -76.905499,38.547279,0.0 -76.9807,38.592057,0.0 -77.043936,38.59445,0.0"
ANNAPOLIS JUNCTION,20701,39.1272,797,MD,1.99132,-76.7872,797,"-76.778343,39.114356,0.0 -76.816285,39.121534,0.0 -76.812183,39.138625,0.0 -76.778343,39.114356,0.0"
