AGAWAM,1001,42.0638,16381,MA,11.84404,-72.6232,16294,"-72.583883,42.076217,0.0 -72.60781,42.030755,0.0 -72.657374,42.033832,0.0 -72.636181,42.099461,0.0 -72.588668,42.092966,0.0 -72.583883,42.076217,0.0"
BELCHERTOWN,1007,42.2788,13220,MA,55.1916,-72.4007,13008,"-72.335722,42.220123,0.0 -72.357941,42.189701,0.0 -72.395541,42.185941,0.0 -72.447155,42.227301,0.0 -72.464246,42.30797,0.0 -72.44237,42.363687,0.0 -72.355206,42.340443,0.0 -72.35589,42.303527,0.0 -72.335722,42.220123,0.0"
BLANDFORD,1008,42.1862,1184,MA,53.81636,-72.9568,1176,"-72.872036,42.216363,0.0 -72.893229,42.123046,0.0 -73.035084,42.143555,0.0 -73.040553,42.239948,0.0 -72.938007,42.197563,0.0 -72.963985,42.234137,0.0 -72.912371,42.239265,0.0 -72.872036,42.216363,0.0"
CHESTER,1011,42.2766,2265,MA,52.34829,-72.9973,2265,"-72.975949,42.329163,0.0 -72.908611,42.305578,0.0 -72.912371,42.239265,0.0 -72.963985,42.234137,0.0 -72.938007,42.197563,0.0 -73.040553,42.239948,0.0 -73.112335,42.24405,0.0 -73.096269,42.303185,0.0 -73.059695,42.327112,0.0 -72.975949,42.329163,0.0"
CHESTERFIELD,1012,42.3622,326,MA,4.69974,-72.8246,319,"-72.792392,42.356509,0.0 -72.821105,42.338392,0.0 -72.842982,42.346938,0.0 -72.840931,42.391716,0.0 -72.792392,42.356509,0.0"
CHICOPEE,1013,42.1598,22992,MA,6.50012,-72.6081,22943,"-72.623192,42.12373,0.0 -72.628661,42.162014,0.0 -72.600632,42.195512,0.0 -72.585934,42.138428,0.0 -72.595505,42.134326,0.0 -72.623192,42.12373,0.0"
CHICOPEE,1020,42.1759,29651,MA,12.67077,-72.5656,29694,"-72.516203,42.160988,0.0 -72.538763,42.154494,0.0 -72.585934,42.138428,0.0 -72.600632,42.195512,0.0 -72.593454,42.211577,0.0 -72.546283,42.216363,0.0 -72.541497,42.217047,0.0 -72.55893,42.175686,0.0 -72.517228,42.190385,0.0 -72.516203,42.160988,0.0"
CHICOPEE,1022,42.1968,1989,MA,5.02166,-72.5429,2006,"-72.541497,42.217047,0.0 -72.522355,42.21021,0.0 -72.517228,42.190385,0.0 -72.55893,42.175686,0.0 -72.541497,42.217047,0.0"
CUMMINGTON,1026,42.4499,1411,MA,37.55055,-72.9076,1398,"-72.851185,42.455636,0.0 -72.840931,42.391716,0.0 -72.842982,42.346938,0.0 -72.854603,42.343178,0.0 -72.890153,42.432051,0.0 -72.99304,42.449142,0.0 -72.986887,42.466916,0.0 -72.975266,42.541091,0.0 -72.873745,42.497338,0.0 -72.855629,42.480931,0.0 -72.851185,42.455636,0.0"
EASTHAMPTON,1027,42.2951,17525,MA,40.91638,-72.743,17467,"-72.814269,42.257039,0.0 -72.821105,42.338392,0.0 -72.792392,42.356509,0.0 -72.741461,42.362661,0.0 -72.73941,42.336,0.0 -72.734625,42.284385,0.0 -72.660792,42.28917,0.0 -72.615672,42.290196,0.0 -72.612937,42.286094,0.0 -72.667628,42.22525,0.0 -72.711723,42.275839,0.0 -72.814269,42.257039,0.0"
EAST LONGMEADOW,1028,42.0597,14174,MA,12.83776,-72.4986,14069,"-72.524748,42.034173,0.0 -72.536712,42.06357,0.0 -72.534319,42.081686,0.0 -72.49125,42.086814,0.0 -72.471083,42.089206,0.0 -72.470057,42.084421,0.0 -72.458094,42.034173,0.0 -72.509025,42.034173,0.0 -72.524748,42.034173,0.0"
FEEDING HILLS,1030,42.0679,11856,MA,12.82679,-72.6786,11867,"-72.657374,42.033832,0.0 -72.678225,42.035541,0.0 -72.714116,42.036908,0.0 -72.70557,42.080661,0.0 -72.69429,42.105614,0.0 -72.636181,42.099461,0.0 -72.657374,42.033832,0.0"
GILBERTVILLE,1031,42.3638,2273,MA,26.5498,-72.1981,1648,"-72.208224,42.31173,0.0 -72.283766,42.349672,0.0 -72.205148,42.417694,0.0 -72.123795,42.363687,0.0 -72.208224,42.31173,0.0"
GOSHEN,1032,42.4587,196,MA,5.08112,-72.8256,268,"-72.809825,42.473069,0.0 -72.797862,42.435127,0.0 -72.851185,42.455636,0.0 -72.855629,42.480931,0.0 -72.809825,42.473069,0.0"
GRANBY,1033,42.2601,6210,MA,28.52891,-72.5038,6132,"-72.546283,42.216363,0.0 -72.527825,42.301476,0.0 -72.464246,42.30797,0.0 -72.447155,42.227301,0.0 -72.522355,42.21021,0.0 -72.541497,42.217047,0.0 -72.546283,42.216363,0.0"
GRANVILLE,1034,42.0856,1992,MA,75.65801,-72.9565,1967,"-73.0532,42.039984,0.0 -73.070291,42.140137,0.0 -73.035084,42.143555,0.0 -72.893229,42.123046,0.0 -72.853578,42.114843,0.0 -72.836829,42.102195,0.0 -72.824182,42.036566,0.0 -72.863833,42.037592,0.0 -73.008764,42.038959,0.0 -73.0532,42.039984,0.0"
HADLEY,1035,42.3558,4859,MA,24.4455,-72.5691,4793,"-72.615672,42.290196,0.0 -72.58525,42.326087,0.0 -72.63413,42.35104,0.0 -72.581148,42.42248,0.0 -72.54389,42.426923,0.0 -72.532268,42.393083,0.0 -72.533294,42.38488,0.0 -72.536712,42.30421,0.0 -72.608836,42.28541,0.0 -72.612937,42.286094,0.0 -72.615672,42.290196,0.0"
HAMPDEN,1036,42.0639,5198,MA,19.53081,-72.4159,5152,"-72.379475,42.102879,0.0 -72.36717,42.032806,0.0 -72.397592,42.033148,0.0 -72.458094,42.034173,0.0 -72.470057,42.084421,0.0 -72.379475,42.102879,0.0"
HAYDENVILLE,1039,42.4073,1500,MA,15.81738,-72.6902,1493,"-72.647803,42.374625,0.0 -72.693607,42.368472,0.0 -72.724029,42.364712,0.0 -72.699759,42.453243,0.0 -72.664894,42.457687,0.0 -72.669338,42.409832,0.0 -72.647803,42.374625,0.0"
HOLYOKE,1040,42.2123,39883,MA,22.896,-72.6411,39935,"-72.684719,42.163039,0.0 -72.687112,42.183206,0.0 -72.667628,42.22525,0.0 -72.612937,42.286094,0.0 -72.608836,42.28541,0.0 -72.593454,42.211577,0.0 -72.600632,42.195512,0.0 -72.628661,42.162014,0.0 -72.684719,42.163039,0.0"
HUNTINGTON,1050,42.2893,2456,MA,41.62476,-72.873,2428,"-72.975949,42.329163,0.0 -72.961251,42.351723,0.0 -72.885709,42.340101,0.0 -72.854603,42.343178,0.0 -72.842982,42.346938,0.0 -72.821105,42.338392,0.0 -72.814269,42.257039,0.0 -72.813243,42.244734,0.0 -72.835803,42.218072,0.0 -72.872036,42.216363,0.0 -72.912371,42.239265,0.0 -72.908611,42.305578,0.0 -72.975949,42.329163,0.0"
LEEDS,1053,42.3527,1340,MA,4.34379,-72.7169,1338,"-72.741461,42.362661,0.0 -72.724029,42.364712,0.0 -72.693607,42.368472,0.0 -72.73941,42.336,0.0 -72.741461,42.362661,0.0"
LEVERETT,1054,42.4756,1548,MA,21.97086,-72.4867,1496,"-72.530901,42.428632,0.0 -72.520305,42.510327,0.0 -72.459461,42.51648,0.0 -72.441003,42.510327,0.0 -72.451941,42.444014,0.0 -72.530901,42.428632,0.0"
LUDLOW,1056,42.1918,21289,MA,27.90109,-72.4569,21230,"-72.517228,42.190385,0.0 -72.522355,42.21021,0.0 -72.447155,42.227301,0.0 -72.395541,42.185941,0.0 -72.395199,42.184916,0.0 -72.484414,42.156545,0.0 -72.516203,42.160988,0.0 -72.517228,42.190385,0.0"
MONSON,1057,42.09,8288,MA,44.13763,-72.3237,8355,"-72.379475,42.102879,0.0 -72.389046,42.152101,0.0 -72.281031,42.14253,0.0 -72.269751,42.092624,0.0 -72.270435,42.031781,0.0 -72.36717,42.032806,0.0 -72.379475,42.102879,0.0"
NORTHAMPTON,1060,42.3203,14988,MA,12.41004,-72.6314,14989,"-72.615672,42.290196,0.0 -72.660792,42.28917,0.0 -72.647803,42.374625,0.0 -72.636865,42.361636,0.0 -72.63413,42.35104,0.0 -72.58525,42.326087,0.0 -72.615672,42.290196,0.0"
OAKHAM,1068,42.3495,1701,MA,21.65903,-72.0463,1673,"-72.041758,42.308312,0.0 -72.11354,42.35685,0.0 -72.035263,42.40368,0.0 -71.993903,42.31925,0.0 -71.98946,42.310021,0.0 -72.041758,42.308312,0.0"
PALMER,1069,42.1874,10058,MA,31.18808,-72.3082,9978,"-72.389046,42.152101,0.0 -72.394173,42.179446,0.0 -72.357941,42.189701,0.0 -72.335722,42.220123,0.0 -72.221213,42.245076,0.0 -72.255737,42.180814,0.0 -72.281031,42.14253,0.0 -72.389046,42.152101,0.0"
PLAINFIELD,1070,42.5198,557,MA,19.79838,-72.9252,554,"-72.876822,42.541091,0.0 -72.873745,42.497338,0.0 -72.975266,42.541091,0.0 -72.979026,42.541775,0.0 -72.975266,42.555789,0.0 -72.876822,42.541091,0.0"
RUSSELL,1071,42.1631,1498,MA,16.85726,-72.8589,1502,"-72.835803,42.218072,0.0 -72.853578,42.114843,0.0 -72.893229,42.123046,0.0 -72.872036,42.216363,0.0 -72.835803,42.218072,0.0"
SHUTESBURY,1072,42.461,1720,MA,21.62726,-72.4158,1459,"-72.376399,42.503491,0.0 -72.377424,42.420087,0.0 -72.451941,42.444014,0.0 -72.441003,42.510327,0.0 -72.376399,42.503491,0.0"
SOUTHAMPTON,1073,42.2309,5487,MA,29.03147,-72.7388,5387,"-72.687112,42.183206,0.0 -72.813243,42.244734,0.0 -72.814269,42.257039,0.0 -72.711723,42.275839,0.0 -72.667628,42.22525,0.0 -72.687112,42.183206,0.0"
SOUTH HADLEY,1075,42.2567,17236,MA,18.38386,-72.5792,17196,"-72.608836,42.28541,0.0 -72.536712,42.30421,0.0 -72.527825,42.301476,0.0 -72.546283,42.216363,0.0 -72.593454,42.211577,0.0 -72.608836,42.28541,0.0"
SOUTHWICK,1077,42.0546,8876,MA,31.35969,-72.778,8794,"-72.836829,42.102195,0.0 -72.70557,42.080661,0.0 -72.714116,42.036908,0.0 -72.774618,42.002042,0.0 -72.808458,41.998282,0.0 -72.824182,42.036566,0.0 -72.836829,42.102195,0.0"
THREE RIVERS,1080,42.18,2669,MA,2.48013,-72.3698,2655,"-72.394173,42.179446,0.0 -72.395199,42.184916,0.0 -72.395541,42.185941,0.0 -72.357941,42.189701,0.0 -72.394173,42.179446,0.0"
WALES,1081,42.0632,1877,MA,16.70584,-72.2258,1675,"-72.1925,42.091599,0.0 -72.198995,42.031097,0.0 -72.270435,42.031781,0.0 -72.269751,42.092624,0.0 -72.1925,42.091599,0.0"
