SANDOVAL COUNTY,64,35.6742,2191,NM,1535.48977,-106.948,2124," -106.947185,35.218217,0.0 -106.948285,35.347986,0.0 -107.207824,35.243511,0.0 -107.310099,35.305096,0.0 -107.30845,35.857716,0.0 -107.30845,35.992434,0.0 -106.8856,36.005631,0.0 -106.381919,36.000132,0.0 -106.329681,36.001232,0.0 -106.24775,35.96659,0.0 -106.399515,35.92425,0.0 -106.795421,35.935247,0.0 -106.796521,35.822524,0.0 -106.980177,35.816475,0.0 -106.955433,35.71145,0.0 -106.955433,35.553088,0.0 -106.773976,35.522845,0.0 -106.833362,35.411221,0.0 -106.853707,35.351285,0.0 -106.856457,35.218217,0.0 -106.947185,35.218217,0.0 -106.442404,35.601476,0.0 -106.539182,35.622371,0.0 -106.623862,35.617972,0.0 -106.637608,35.623471,0.0 -106.535333,35.794481,0.0 -106.41821,35.827473,0.0 -106.2483,35.75544,0.0 -106.2483,35.675709,0.0 -106.442404,35.601476,0.0"
WHITE SANDS MISSILE RNGE,66,32.7371,22,NM,650.16976,-106.524,23,"-106.37642,32.910412,0.0 -106.37697,32.516156,0.0 -106.581522,32.430926,0.0 -106.751431,32.88017,0.0 -106.694245,32.904364,0.0 -106.340679,33.052829,0.0 -106.37642,32.910412,0.0"
BELEN,87002,34.6073,21560,NM,362.53087,-106.672,21411,"-106.520486,34.461596,0.0 -106.772326,34.533079,0.0 -106.79817,34.544076,0.0 -106.8823,34.579268,0.0 -106.971379,34.78162,0.0 -106.466049,34.675495,0.0 -106.465499,34.644702,0.0 -106.41711,34.439601,0.0 -106.520486,34.461596,0.0"
BERNALILLO,87004,35.3933,12202,NM,393.56776,-106.534,11893,"-106.356075,35.316644,0.0 -106.50454,35.350186,0.0 -106.507839,35.217667,0.0 -106.574373,35.217117,0.0 -106.593619,35.217667,0.0 -106.605166,35.217667,0.0 -106.598018,35.283102,0.0 -106.853707,35.351285,0.0 -106.833362,35.411221,0.0 -106.690396,35.391976,0.0 -106.665652,35.537691,0.0 -106.539182,35.548689,0.0 -106.364873,35.471157,0.0 -106.323083,35.462909,0.0 -106.2483,35.445863,0.0 -106.2483,35.444763,0.0 -106.246101,35.250109,0.0 -106.356075,35.316644,0.0"
BLUEWATER,87005,35.1374,2172,NM,638.61879,-108.241,2116,"-108.502767,34.959228,0.0 -108.468675,35.299598,0.0 -108.205288,35.306196,0.0 -107.988089,35.305096,0.0 -107.919355,35.305096,0.0 -108.019432,35.135736,0.0 -108.008984,35.102194,0.0 -108.15415,34.934484,0.0 -108.520913,34.883896,0.0 -108.518714,34.959228,0.0 -108.502767,34.959228,0.0"
BOSQUE,87006,34.4663,399,NM,11.19891,-106.81,377,"-106.846559,34.408258,0.0 -106.79817,34.544076,0.0 -106.772326,34.533079,0.0 -106.79982,34.417606,0.0 -106.846559,34.408258,0.0"
CASA BLANCA,87007,35.0089,3189,NM,201.00042,-107.379,3179,"-107.13634,35.098345,0.0 -107.102798,34.985072,0.0 -107.51795,34.870699,0.0 -107.556441,35.074151,0.0 -107.515751,35.112642,0.0 -107.293603,35.026312,0.0 -107.13634,35.098345,0.0"
CEDAR CREST,87008,35.1322,2841,NM,21.65552,-106.384,2794,"-106.392366,35.088448,0.0 -106.428658,35.108243,0.0 -106.427558,35.123089,0.0 -106.414361,35.172028,0.0 -106.329131,35.131337,0.0 -106.392366,35.088448,0.0"
CEDARVALE,87009,34.4286,122,NM,732.83428,-105.644,123,"-105.888135,34.259793,0.0 -105.964018,34.599063,0.0 -105.833148,34.6546,0.0 -105.578009,34.609511,0.0 -105.547766,34.479741,0.0 -105.312971,34.498987,0.0 -105.312971,34.346673,0.0 -105.323969,34.259244,0.0 -105.888135,34.259793,0.0"
CUBA,87013,36.0733,2230,NM,356.36577,-107.344,2243,"-107.626275,36.000132,0.0 -107.624075,36.21953,0.0 -107.411275,36.217881,0.0 -107.407976,36.085912,0.0 -107.046162,36.085912,0.0 -106.980727,36.072165,0.0 -106.88615,36.067216,0.0 -106.8856,36.005631,0.0 -107.30845,35.992434,0.0 -107.626275,36.000132,0.0"
CUBERO,87014,34.897,9569,NM,1974.3064,-107.906,9476," -107.515751,35.112642,0.0 -107.554242,35.303447,0.0 -107.310099,35.305096,0.0 -107.207824,35.243511,0.0 -107.13634,35.098345,0.0 -107.293603,35.026312,0.0 -107.515751,35.112642,0.0 -107.919355,35.305096,0.0 -107.81378,35.182475,0.0 -108.019432,35.135736,0.0 -107.919355,35.305096,0.0 -107.51795,34.870699,0.0 -107.795085,34.579268,0.0 -108.010634,34.578718,0.0 -108.508816,34.579268,0.0 -108.520913,34.883896,0.0 -108.15415,34.934484,0.0 -108.008984,35.102194,0.0 -107.556441,35.074151,0.0 -107.51795,34.870699,0.0"
EDGEWOOD,87015,35.0769,12800,NM,134.00953,-106.189,12139,"-106.067943,35.040609,0.0 -106.182316,34.95318,0.0 -106.241702,34.897643,0.0 -106.260947,35.12089,0.0 -106.257648,35.214918,0.0 -106.155922,35.20447,0.0 -106.067943,35.040609,0.0"
ESTANCIA,87016,34.7481,4497,NM,590.42651,-106.157,4349,"-106.157572,34.608961,0.0 -106.465499,34.644702,0.0 -106.466049,34.675495,0.0 -106.464399,34.810763,0.0 -106.411062,34.870149,0.0 -106.149874,34.870149,0.0 -105.821601,34.838807,0.0 -105.833148,34.6546,0.0 -105.964018,34.599063,0.0 -105.960718,34.745329,0.0 -106.157572,34.608961,0.0"
GALLINA,87017,36.1322,963,NM,530.80091,-106.62,967,"-106.88615,36.067216,0.0 -106.913643,36.216781,0.0 -106.627711,36.331154,0.0 -106.426458,36.237676,0.0 -106.304937,36.037523,0.0 -106.381919,36.000132,0.0 -106.8856,36.005631,0.0 -106.88615,36.067216,0.0"
COUNSELOR,87018,36.1358,620,NM,64.32084,-106.937,619,"-106.88615,36.067216,0.0 -106.980727,36.072165,0.0 -106.992274,36.140349,0.0 -106.992274,36.216781,0.0 -106.913643,36.216781,0.0 -106.88615,36.067216,0.0"
GRANTS,87020,35.2594,11116,NM,462.97922,-107.753,11137,"-108.019432,35.135736,0.0 -107.81378,35.182475,0.0 -107.919355,35.305096,0.0 -107.988089,35.305096,0.0 -108.043626,35.364482,0.0 -107.780788,35.483254,0.0 -107.554242,35.303447,0.0 -107.515751,35.112642,0.0 -107.556441,35.074151,0.0 -108.008984,35.102194,0.0 -108.019432,35.135736,0.0"
JARALES,87023,34.7405,721,NM,357.87103,-107.075,648,"-106.8823,34.579268,0.0 -107.204524,34.578718,0.0 -107.202875,34.95208,0.0 -107.032415,34.887195,0.0 -107.025267,34.871249,0.0 -106.971379,34.78162,0.0 -106.8823,34.579268,0.0"
