ASHAWAY,2804,41.4343,3298,RI,12.55973,-71.7694,2978,"-71.797699,41.416848,0.0 -71.794623,41.476325,0.0 -71.755997,41.460943,0.0 -71.723525,41.438383,0.0 -71.724208,41.438041,0.0 -71.767961,41.400441,0.0 -71.797699,41.416848,0.0"
BRADFORD,2808,41.4114,2019,RI,5.87773,-71.7441,2009,"-71.726259,41.421634,0.0 -71.73207,41.386768,0.0 -71.767961,41.400441,0.0 -71.724208,41.438041,0.0 -71.726259,41.421634,0.0"
CAROLINA,2812,41.4746,1306,RI,5.92661,-71.6485,1279,"-71.644564,41.500936,0.0 -71.637728,41.447954,0.0 -71.672935,41.459234,0.0 -71.660972,41.492049,0.0 -71.644564,41.500936,0.0"
EXETER,2822,41.568,5606,RI,55.23998,-71.6366,5529,"-71.518091,41.544005,0.0 -71.518775,41.529991,0.0 -71.519801,41.515292,0.0 -71.643881,41.562121,0.0 -71.671226,41.559045,0.0 -71.791547,41.545372,0.0 -71.789496,41.596987,0.0 -71.546462,41.602456,0.0 -71.520484,41.602798,0.0 -71.518091,41.544005,0.0"
FOSTER,2825,41.7799,5118,RI,60.53787,-71.7169,5067,"-71.672252,41.72722,0.0 -71.789838,41.724827,0.0 -71.791205,41.774391,0.0 -71.792572,41.804129,0.0 -71.794281,41.841729,0.0 -71.794623,41.849249,0.0 -71.794623,41.854377,0.0 -71.731728,41.856086,0.0 -71.589532,41.750464,0.0 -71.640804,41.727562,0.0 -71.672252,41.72722,0.0"
GREENE,2827,41.6971,2290,RI,22.898,-71.7375,2094,"-71.787103,41.656122,0.0 -71.787445,41.666034,0.0 -71.789838,41.724827,0.0 -71.672252,41.72722,0.0 -71.73959,41.657489,0.0 -71.787103,41.656122,0.0"
GREENVILLE,2828,41.876,6988,RI,4.6242,-71.5596,7136,"-71.574833,41.858478,0.0 -71.577568,41.873177,0.0 -71.577226,41.908042,0.0 -71.531422,41.863948,0.0 -71.574833,41.858478,0.0"
HARRISVILLE,2830,41.9787,6399,RI,23.33985,-71.6453,6645,"-71.581328,41.934362,0.0 -71.589873,41.93402,0.0 -71.624055,41.932653,0.0 -71.646615,41.954188,0.0 -71.649692,41.957948,0.0 -71.713612,42.01093,0.0 -71.681139,42.011613,0.0 -71.606281,42.013322,0.0 -71.581328,41.934362,0.0"
HOPE,2831,41.7438,3952,RI,10.13667,-71.5738,3866,"-71.589532,41.750464,0.0 -71.555692,41.771656,0.0 -71.534157,41.730296,0.0 -71.534157,41.730296,0.0 -71.640804,41.727562,0.0 -71.589532,41.750464,0.0"
HOPE VALLEY,2832,41.5127,4765,RI,25.43915,-71.7378,4224,"-71.755997,41.460943,0.0 -71.793598,41.495809,0.0 -71.793256,41.505721,0.0 -71.791547,41.545372,0.0 -71.671226,41.559045,0.0 -71.709852,41.499227,0.0 -71.723525,41.438383,0.0 -71.755997,41.460943,0.0"
HOPKINTON,2833,41.4813,0,RI,4.71327,-71.7747,665,"-71.794623,41.476325,0.0 -71.793598,41.495809,0.0 -71.755997,41.460943,0.0 -71.794623,41.476325,0.0"
MANVILLE,2838,41.9665,3633,RI,1.42558,-71.4757,3573,"-71.48596,41.979141,0.0 -71.45212,41.953162,0.0 -71.48767,41.963075,0.0 -71.488011,41.978115,0.0 -71.48596,41.979141,0.0"
MAPLEVILLE,2839,41.9413,916,RI,1.47535,-71.6354,916,"-71.624055,41.932653,0.0 -71.644906,41.948377,0.0 -71.647641,41.953846,0.0 -71.646615,41.954188,0.0 -71.624055,41.932653,0.0"
NEWPORT,2841,41.5245,0,RI,1.04195,-71.3154,1009,"-71.306164,41.553576,0.0 -71.310607,41.519394,0.0 -71.322913,41.512216,0.0 -71.306164,41.553576,0.0"
NORTH KINGSTOWN,2852,41.5863,23710,RI,32.63115,-71.4625,23428,"-71.520484,41.602798,0.0 -71.441866,41.643816,0.0 -71.433662,41.544347,0.0 -71.518091,41.544005,0.0 -71.520484,41.602798,0.0"
OAKLAND,2858,41.9647,675,RI,0.5967,-71.6417,454,"-71.647641,41.953846,0.0 -71.649692,41.957948,0.0 -71.646615,41.954188,0.0 -71.647641,41.953846,0.0"
CENTRAL FALLS,2863,41.8901,18952,RI,1.29636,-71.3934,18724,"-71.405291,41.886166,0.0 -71.394695,41.897788,0.0 -71.381706,41.893344,0.0 -71.405291,41.886166,0.0"
SAUNDERSTOWN,2874,41.5154,4740,RI,13.82178,-71.4651,4620,"-71.419989,41.49239,0.0 -71.446993,41.48863,0.0 -71.49143,41.497176,0.0 -71.515015,41.501278,0.0 -71.519801,41.515292,0.0 -71.518775,41.529991,0.0 -71.518091,41.544005,0.0 -71.433662,41.544347,0.0 -71.419989,41.49239,0.0"
KINGSTON,2881,41.4837,6524,RI,3.85558,-71.5212,6458,"-71.546804,41.463678,0.0 -71.515015,41.501278,0.0 -71.49143,41.497176,0.0 -71.546804,41.463678,0.0"
WEST KINGSTON,2892,41.499,4862,RI,30.31402,-71.5994,4747,"-71.615852,41.449663,0.0 -71.625081,41.446587,0.0 -71.637728,41.447954,0.0 -71.644564,41.500936,0.0 -71.643881,41.562121,0.0 -71.519801,41.515292,0.0 -71.515015,41.501278,0.0 -71.546804,41.463678,0.0 -71.593975,41.445561,0.0 -71.615852,41.449663,0.0"
WOOD RIVER JUNCTION,2894,41.4634,1033,RI,9.04917,-71.695,1006,"-71.723525,41.438383,0.0 -71.709852,41.499227,0.0 -71.660972,41.492049,0.0 -71.672935,41.459234,0.0 -71.726259,41.421634,0.0 -71.724208,41.438041,0.0 -71.723525,41.438383,0.0"
NARRAGANSETT,2882,41.4246,14884,RI,15.09691,-71.4685,14689,"-71.51399,41.374121,0.0 -71.446993,41.48863,0.0 -71.419989,41.49239,0.0 -71.51399,41.374121,0.0"
CHEPACHET,2814,41.9046,7920,RI,51.9964,-71.7066,7731,"-71.731728,41.856086,0.0 -71.794623,41.854377,0.0 -71.796674,41.904282,0.0 -71.797699,41.927526,0.0 -71.798383,41.958631,0.0 -71.644906,41.948377,0.0 -71.624055,41.932653,0.0 -71.589873,41.93402,0.0 -71.577226,41.908042,0.0 -71.577568,41.873177,0.0 -71.731728,41.856086,0.0"
JOHNSTON,2919,41.8273,28261,RI,23.86628,-71.5194,28044,"-71.464084,41.805155,0.0 -71.49143,41.791482,0.0 -71.560477,41.790115,0.0 -71.574833,41.858478,0.0 -71.531422,41.863948,0.0 -71.49519,41.868733,0.0 -71.471604,41.83626,0.0 -71.464084,41.805155,0.0"
WESTERLY,2891,41.3613,21689,RI,30.23825,-71.7922,21379,"-71.85991,41.320456,0.0 -71.842819,41.408303,0.0 -71.797699,41.416848,0.0 -71.767961,41.400441,0.0 -71.73207,41.386768,0.0 -71.719081,41.331052,0.0 -71.85991,41.320456,0.0"
EAST GREENWICH,2818,41.6424,18514,RI,21.93696,-71.4945,18280,"-71.441866,41.643816,0.0 -71.520484,41.602798,0.0 -71.546462,41.602456,0.0 -71.547488,41.661591,0.0 -71.533132,41.662274,0.0 -71.500317,41.681416,0.0 -71.449728,41.684834,0.0 -71.441866,41.643816,0.0"
PROVIDENCE,2904,41.8606,29492,RI,5.33777,-71.4356,29192,"-71.412469,41.831475,0.0 -71.449044,41.852326,0.0 -71.475706,41.871809,0.0 -71.467844,41.873519,0.0 -71.42204,41.878646,0.0 -71.39948,41.856769,0.0 -71.409051,41.831133,0.0 -71.412469,41.831475,0.0"
WARREN,2885,41.7288,11383,RI,6.17498,-71.2617,11377,"-71.283946,41.761744,0.0 -71.225836,41.711838,0.0 -71.258651,41.714915,0.0 -71.291124,41.711155,0.0 -71.283946,41.761744,0.0"
BRISTOL,2809,41.6823,22523,RI,10.05422,-71.2698,22452,"-71.291124,41.711155,0.0 -71.258651,41.714915,0.0 -71.259676,41.642449,0.0 -71.291124,41.711155,0.0"
CRANSTON,2921,41.7641,9952,RI,12.1388,-71.5163,9632,"-71.555692,41.771656,0.0 -71.560477,41.790115,0.0 -71.49143,41.791482,0.0 -71.497924,41.731322,0.0 -71.534157,41.730296,0.0 -71.555692,41.771656,0.0"
