UINTA NTL FOREST,71,40.0335,956,UT,853.57765,-111.369,960,"-111.633727,39.949848,0.0 -111.585339,40.013633,0.0 -111.582589,40.077418,0.0 -111.547948,40.145052,0.0 -111.600185,40.183543,0.0 -111.574341,40.24128,0.0 -111.519354,40.334208,0.0 -111.648574,40.32596,0.0 -111.677717,40.333658,0.0 -111.696962,40.351803,0.0 -111.744801,40.432084,0.0 -111.744801,40.433184,0.0 -111.611733,40.431535,0.0 -111.611183,40.430985,0.0 -111.339547,40.288568,0.0 -111.249918,40.042776,0.0 -110.891953,39.89981,0.0 -110.857861,39.813481,0.0 -111.247719,39.812931,0.0 -111.641975,39.812931,0.0 -111.676067,39.812931,0.0 -111.633727,39.949848,0.0"
WASATCH NATIONAL FOREST,100,40.7121,1489,UT,145.24147,-111.726,1093," -111.777243,40.690523,0.0 -111.786041,40.714168,0.0 -111.679916,40.812045,0.0 -111.814635,40.777403,0.0 -111.83498,40.779602,0.0 -111.910312,40.799947,0.0 -111.915811,40.821942,0.0 -111.891067,40.821942,0.0 -111.738753,40.860983,0.0 -111.640876,40.798848,0.0 -111.596886,40.659731,0.0 -111.799788,40.649283,0.0 -111.777243,40.690523,0.0 -111.821783,40.485972,0.0 -111.811885,40.53436,0.0 -111.74975,40.571202,0.0 -111.601835,40.570652,0.0 -111.821783,40.485972,0.0"
ALTAMONT,84001,40.3926,141,UT,32.67912,-110.475,142,"-110.505394,40.335307,0.0 -110.510343,40.463427,0.0 -110.412466,40.421637,0.0 -110.399269,40.399092,0.0 -110.505394,40.335307,0.0"
ALTONAH,84002,40.4669,0,UT,35.04898,-110.449,0,"-110.510343,40.463427,0.0 -110.519691,40.474424,0.0 -110.43721,40.516764,0.0 -110.412466,40.421637,0.0 -110.510343,40.463427,0.0"
AMERICAN FORK,84003,40.4135,31967,UT,38.51061,-111.817,30659,"-111.759648,40.355103,0.0 -111.760197,40.333658,0.0 -111.765146,40.32596,0.0 -111.852576,40.360051,0.0 -111.815184,40.431535,0.0 -111.913611,40.45243,0.0 -111.821783,40.485972,0.0 -111.744801,40.433184,0.0 -111.744801,40.432084,0.0 -111.759648,40.355103,0.0"
ALPINE,84004,40.4951,8086,UT,78.32185,-111.682,7788,"-111.821783,40.485972,0.0 -111.601835,40.570652,0.0 -111.594137,40.57725,0.0 -111.571042,40.532711,0.0 -111.611733,40.431535,0.0 -111.744801,40.433184,0.0 -111.821783,40.485972,0.0"
BINGHAM CANYON,84006,40.5323,737,UT,38.21056,-112.134,726,"-112.17315,40.467276,0.0 -112.175349,40.584948,0.0 -112.080222,40.586598,0.0 -112.062076,40.558555,0.0 -112.070324,40.53711,0.0 -112.117613,40.453529,0.0 -112.17315,40.467276,0.0"
BLUEBELL,84007,40.3357,1367,UT,111.81933,-110.336,1375,"-110.174922,40.333108,0.0 -110.386622,40.247878,0.0 -110.497146,40.314962,0.0 -110.505394,40.335307,0.0 -110.399269,40.399092,0.0 -110.174922,40.333108,0.0"
BOUNTIFUL,84010,40.8722,44886,UT,35.83926,-111.83,44308,"-111.891067,40.821942,0.0 -111.900964,40.860983,0.0 -111.891067,40.906622,0.0 -111.79319,40.930267,0.0 -111.738753,40.860983,0.0 -111.891067,40.821942,0.0"
CEDAR VALLEY,84013,40.1432,3220,UT,569.07825,-112.033,3033,"-111.881169,40.02903,0.0 -111.83278,39.927854,0.0 -111.964199,39.827227,0.0 -112.090119,39.782138,0.0 -112.054928,39.897061,0.0 -112.179748,40.011434,0.0 -112.178649,40.231382,0.0 -112.209441,40.432084,0.0 -112.17315,40.467276,0.0 -112.117613,40.453529,0.0 -111.929557,40.434284,0.0 -112.04393,40.299566,0.0 -111.905913,40.335857,0.0 -111.881169,40.02903,0.0"
CENTERVILLE,84014,40.9298,14879,UT,21.59193,-111.887,14556,"-111.891067,40.906622,0.0 -111.958701,40.91597,0.0 -111.938905,40.966558,0.0 -111.814635,40.95941,0.0 -111.79319,40.930267,0.0 -111.891067,40.906622,0.0"
CLEARFIELD,84015,41.1234,48179,UT,28.04658,-112.083,46400,"-112.121462,41.089179,0.0 -112.127511,41.089179,0.0 -112.126961,41.089729,0.0 -112.189646,41.152964,0.0 -112.083521,41.152414,0.0 -112.025235,41.152414,0.0 -112.024135,41.152414,0.0 -111.987844,41.103476,0.0 -112.035682,41.074883,0.0 -112.121462,41.089179,0.0"
COALVILLE,84017,40.9646,4176,UT,693.28241,-111.236,4079,"-111.362641,40.737262,0.0 -111.431925,40.684475,0.0 -111.435774,40.673477,0.0 -111.457769,40.683375,0.0 -111.498459,40.835689,0.0 -111.590288,40.968758,0.0 -111.529802,41.052888,0.0 -111.264765,41.144166,0.0 -111.046466,41.251941,0.0 -111.046466,40.997901,0.0 -110.872707,40.997351,0.0 -110.929894,40.835689,0.0 -111.246069,40.810945,0.0 -111.40938,40.798298,0.0 -111.362641,40.737262,0.0"
CROYDON,84018,41.204,165,UT,225.10408,-111.402,134,"-111.529802,41.052888,0.0 -111.529252,41.229946,0.0 -111.420378,41.361365,0.0 -111.259266,41.289332,0.0 -111.264765,41.144166,0.0 -111.529802,41.052888,0.0"
DRAPER,84020,40.501,26828,UT,23.52451,-111.876,25319,"-111.913611,40.45243,0.0 -111.92021,40.441432,0.0 -111.91746,40.53711,0.0 -111.897665,40.544258,0.0 -111.871821,40.544258,0.0 -111.853125,40.529411,0.0 -111.811885,40.53436,0.0 -111.821783,40.485972,0.0 -111.913611,40.45243,0.0"
DUCHESNE,84021,40.0105,844,UT,1158.62916,-110.439,2677,"-110.341533,39.806882,0.0 -110.857861,39.813481,0.0 -110.891953,39.89981,0.0 -110.896352,40.129656,0.0 -110.496596,40.173096,0.0 -110.386622,40.247878,0.0 -110.174922,40.333108,0.0 -110.067698,40.247328,0.0 -110.136431,40.108761,0.0 -110.063299,40.11261,0.0 -110.063299,39.806332,0.0 -110.341533,39.806882,0.0"
DUGWAY,84022,40.2605,2207,UT,2634.14605,-113.064,2165,"-112.55366,40.348504,0.0 -112.741715,40.332008,0.0 -112.565757,40.115359,0.0 -112.457433,39.904209,0.0 -113.701239,39.905309,0.0 -113.701788,40.32486,0.0 -113.269591,40.342456,0.0 -113.135972,40.699871,0.0 -112.927572,40.816444,0.0 -112.647138,40.74606,0.0 -112.63669,40.741661,0.0 -112.560808,40.420537,0.0 -112.55366,40.348504,0.0"
DUTCH JOHN,84023,40.8791,146,UT,331.03049,-109.235,149,"-109.048239,40.653682,0.0 -109.160962,40.683925,0.0 -109.203302,40.858784,0.0 -109.469989,40.754308,0.0 -109.409503,40.940714,0.0 -109.571165,40.998451,0.0 -109.561267,40.998451,0.0 -109.049888,41.00065,0.0 -109.048239,40.653682,0.0"
FARMINGTON,84025,40.9854,12576,UT,39.48774,-111.87,12420,"-112.009838,40.983604,0.0 -112.007089,40.995151,0.0 -111.897115,41.030893,0.0 -111.83608,41.036392,0.0 -111.814635,40.95941,0.0 -111.938905,40.966558,0.0 -112.009838,40.983604,0.0"
FORT DUCHESNE,84026,40.2966,1733,UT,58.65355,-109.84,1727,"-109.805959,40.374348,0.0 -109.737226,40.247328,0.0 -109.782865,40.229182,0.0 -109.896688,40.252827,0.0 -109.935179,40.355653,0.0 -109.856547,40.363351,0.0 -109.805959,40.374348,0.0"
GARDEN CITY,84028,41.9087,528,UT,63.48257,-111.439,503,"-111.363191,41.856798,0.0 -111.462168,41.812808,0.0 -111.507257,41.999764,0.0 -111.407731,42.000864,0.0 -111.363191,41.856798,0.0"
