MOODY,35004,33.5994,7464,AL,16.1483,-86.4917,6725,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.459945,33.578733,0.0 -86.49027,33.566645,0.0 -86.533743,33.592093,0.0 -86.508932,33.626871,0.0 -86.448281,33.634506,0.0 -86.459945,33.578733,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ADAMSVILLE,35005,33.5949,9051,AL,30.9856,-86.9907,9142,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.929666,33.61436,0.0 -86.923728,33.558587,0.0 -86.967201,33.551165,0.0 -87.063902,33.598455,0.0 -87.042696,33.638323,0.0 -87.042484,33.638111,0.0 -86.929666,33.61436,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ADGER,35006,33.4327,3125,AL,111.23639,-87.2061,3166,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.10992,33.360307,0.0 -87.162088,33.321076,0.0 -87.356126,33.458281,0.0 -87.270028,33.512993,0.0 -87.281692,33.563889,0.0 -87.23016,33.538865,0.0 -87.091047,33.45722,0.0 -87.10992,33.360307,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ALABASTER,35007,33.2286,20399,AL,38.28549,-86.7848,19697,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.841235,33.197867,0.0 -86.852687,33.251307,0.0 -86.82427,33.271665,0.0 -86.734143,33.278451,0.0 -86.708272,33.262758,0.0 -86.728842,33.198927,0.0 -86.785887,33.169026,0.0 -86.841235,33.197867,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ALEXANDER CITY,35010,32.9459,22278,AL,228.54619,-85.9332,22167,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.092439,32.865987,0.0 -86.092651,32.912429,0.0 -86.008249,32.939997,0.0 -86.008461,33.020581,0.0 -85.925969,33.105195,0.0 -85.920031,33.105195,0.0 -85.843052,33.104559,0.0 -85.887161,33.078687,0.0 -85.770314,33.071901,0.0 -85.787279,32.965657,0.0 -85.868075,32.921335,0.0 -85.9652,32.884224,0.0 -85.894371,32.837358,0.0 -85.910276,32.708848,0.0 -86.029668,32.830784,0.0 -86.092439,32.865987,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ALPINE,35014,33.3629,4315,AL,87.31754,-86.2571,4288,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.303018,33.463158,0.0 -86.15012,33.388936,0.0 -86.215435,33.355218,0.0 -86.21183,33.26912,0.0 -86.252335,33.226707,0.0 -86.268663,33.280783,0.0 -86.286053,33.371759,0.0 -86.348612,33.347371,0.0 -86.378937,33.39042,0.0 -86.304502,33.457857,0.0 -86.303018,33.463158,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ARAB,35016,34.3265,15434,AL,75.05259,-86.5019,15383,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.540529,34.225103,0.0 -86.54986,34.248006,0.0 -86.593333,34.366974,0.0 -86.432589,34.383303,0.0 -86.392933,34.323713,0.0 -86.494723,34.238675,0.0 -86.540529,34.225103,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BAILEYTON,35019,34.2962,2341,AL,29.93248,-86.6346,2269,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.607541,34.370155,0.0 -86.637654,34.31417,0.0 -86.573187,34.243553,0.0 -86.631717,34.236979,0.0 -86.686853,34.293176,0.0 -86.646561,34.372063,0.0 -86.607753,34.370579,0.0 -86.607541,34.370155,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BESSEMER,35020,33.4044,31535,AL,19.20914,-86.9488,31810,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.949812,33.457645,0.0 -86.915458,33.440467,0.0 -86.900613,33.433893,0.0 -86.961051,33.345675,0.0 -86.984378,33.394874,0.0 -86.954265,33.453827,0.0 -86.950448,33.457645,0.0 -86.949812,33.457645,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BESSEMER,35022,33.3255,15327,AL,75.66666,-86.9628,15271,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.899977,33.300505,0.0 -86.944298,33.260425,0.0 -87.025943,33.221194,0.0 -87.044817,33.246641,0.0 -86.984378,33.329346,0.0 -87.056268,33.365609,0.0 -86.984378,33.394874,0.0 -86.961051,33.345675,0.0 -86.900613,33.433893,0.0 -86.891283,33.437923,0.0 -86.869652,33.409082,0.0 -86.875802,33.353309,0.0 -86.899977,33.300505,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BESSEMER,35023,33.4661,25081,AL,91.81364,-87.0899,25226,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.056268,33.365609,0.0 -87.10992,33.360307,0.0 -87.091047,33.45722,0.0 -87.23016,33.538865,0.0 -87.186475,33.55689,0.0 -87.120948,33.558587,0.0 -87.014704,33.485849,0.0 -86.974199,33.470793,0.0 -86.954265,33.453827,0.0 -86.984378,33.394874,0.0 -87.056268,33.365609,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BLOUNTSVILLE,35031,34.1055,8293,AL,136.2252,-86.5446,8034,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.534167,34.017281,0.0 -86.494935,34.044849,0.0 -86.586547,34.021098,0.0 -86.731386,34.014736,0.0 -86.647621,34.108468,0.0 -86.620901,34.122252,0.0 -86.540529,34.225103,0.0 -86.494723,34.238675,0.0 -86.414775,34.212167,0.0 -86.480091,34.121192,0.0 -86.441707,34.090655,0.0 -86.44913,34.038911,0.0 -86.534167,34.017281,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BREMEN,35033,33.9414,3625,AL,84.27749,-87.0245,3573,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.91461,33.915914,0.0 -86.963384,33.858445,0.0 -87.06263,33.839571,0.0 -87.109496,33.956843,0.0 -87.000071,34.046121,0.0 -86.95469,33.985471,0.0 -87.002404,33.906159,0.0 -86.91461,33.915914,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BRENT,35034,32.9398,5633,AL,172.79486,-87.2879,5543,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.200047,33.033941,0.0 -87.218285,32.969686,0.0 -87.133671,32.903098,0.0 -87.21065,32.835238,0.0 -87.211499,32.835238,0.0 -87.42123,32.874469,0.0 -87.420594,32.890586,0.0 -87.421866,33.003404,0.0 -87.318591,33.006161,0.0 -87.312229,33.086109,0.0 -87.200047,33.033941,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BRIERFIELD,35035,33.0644,1579,AL,78.78423,-86.9911,1550,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.876226,33.002768,0.0 -86.876438,32.987923,0.0 -87.078323,33.019097,0.0 -87.025519,33.179205,0.0 -87.025519,33.16945,0.0 -86.876226,33.002768,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BROOKSIDE,35036,33.6382,142,AL,0.63182,-86.909,142,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.904218,33.631537,0.0 -86.91673,33.639383,0.0 -86.908036,33.647017,0.0 -86.904218,33.631537,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CARDIFF,35041,33.6465,82,AL,0.17638,-86.9311,82,
CENTREVILLE,35042,32.9181,5366,AL,196.8184,-87.0627,5275,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.200047,33.033941,0.0 -87.078323,33.019097,0.0 -86.876438,32.987923,0.0 -86.876438,32.983894,0.0 -86.933271,32.909036,0.0 -87.018521,32.79749,0.0 -87.113525,32.752109,0.0 -87.13558,32.83545,0.0 -87.21065,32.835238,0.0 -87.133671,32.903098,0.0 -87.218285,32.969686,0.0 -87.200047,33.033941,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CHELSEA,35043,33.32,4525,AL,38.43044,-86.6576,4299,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.597362,33.339525,0.0 -86.708272,33.262758,0.0 -86.734143,33.278451,0.0 -86.739869,33.311321,0.0 -86.666283,33.344615,0.0 -86.603724,33.398691,0.0 -86.597362,33.339525,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CHILDERSBURG,35044,33.2695,7849,AL,69.95113,-86.3646,7815,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.503206,33.179205,0.0 -86.447009,33.242612,0.0 -86.367909,33.337192,0.0 -86.348612,33.347371,0.0 -86.286053,33.371759,0.0 -86.268663,33.280783,0.0 -86.345006,33.265091,0.0 -86.323588,33.226707,0.0 -86.484332,33.16118,0.0 -86.503206,33.179205,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
