WEST BROWARD COUNTY,41,26.1628,0,FL,803.32126,-80.6161,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-80.36587,26.12745,0.0 -80.400649,26.135297,0.0 -80.42652,26.142507,0.0 -80.442213,26.028841,0.0 -80.438396,25.956951,0.0 -80.43882,25.956527,0.0 -80.872915,25.97943,0.0 -80.879064,26.172408,0.0 -80.879913,26.259354,0.0 -80.881185,26.333788,0.0 -80.297586,26.334425,0.0 -80.297586,26.328275,0.0 -80.296949,26.287347,0.0 -80.296949,26.258506,0.0 -80.296525,26.228817,0.0 -80.296313,26.209519,0.0 -80.298222,26.19107,0.0 -80.36587,26.12745,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
SOUTHWEST BREVARD CNTY,42,27.9968,180,FL,231.56838,-80.7936,176,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-80.671878,27.910482,0.0 -80.673575,27.8229,0.0 -80.868885,27.822476,0.0 -80.869521,27.931476,0.0 -80.861675,28.246603,0.0 -80.742707,28.229638,0.0 -80.749705,28.111943,0.0 -80.805902,28.174714,0.0 -80.712594,28.043234,0.0 -80.712594,27.998913,0.0 -80.721077,27.91027,0.0 -80.671878,27.910482,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
EVERGLADES,43,25.5797,188,FL,1128.44886,-80.6947,167,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-80.559908,25.505892,0.0 -80.562665,25.483625,0.0 -80.6248,25.461146,0.0 -80.616529,25.37929,0.0 -80.445182,25.289587,0.0 -80.435215,25.2406,0.0 -80.487171,25.212396,0.0 -80.425672,25.12757,0.0 -80.468297,25.21282,0.0 -80.668485,25.145808,0.0 -80.85807,25.176557,0.0 -80.873551,25.451179,0.0 -80.873127,25.805538,0.0 -80.872915,25.97943,0.0 -80.43882,25.956527,0.0 -80.387289,25.901179,0.0 -80.450696,25.797055,0.0 -80.449635,25.761004,0.0 -80.498198,25.76058,0.0 -80.670182,25.76058,0.0 -80.671454,25.548517,0.0 -80.575813,25.623163,0.0 -80.5457,25.564633,0.0 -80.558848,25.550001,0.0 -80.559908,25.505892,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
SOUTHEAST MARION CNTY,45,29.094,83,FL,119.40727,-81.7347,79,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.814265,29.043326,0.0 -81.84247,29.16293,0.0 -81.826777,29.17629,0.0 -81.641009,29.168868,0.0 -81.640585,29.144269,0.0 -81.658823,28.977799,0.0 -81.814265,29.043326,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
SOUTHWEST PALM BEACH CO,53,26.476,22,FL,778.34037,-80.5571,20,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-80.249235,26.364114,0.0 -80.226332,26.334637,0.0 -80.297586,26.334425,0.0 -80.881185,26.333788,0.0 -80.885426,26.609259,0.0 -80.711746,26.609683,0.0 -80.569451,26.630041,0.0 -80.446666,26.598656,0.0 -80.366294,26.681785,0.0 -80.300343,26.614137,0.0 -80.272562,26.592718,0.0 -80.234391,26.540975,0.0 -80.221879,26.485626,0.0 -80.231634,26.429005,0.0 -80.249235,26.364114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
NW INDIAN RIVER COUNTY,87,27.7402,3,FL,144.16371,-80.7496,3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-80.541671,27.707113,0.0 -80.535097,27.68527,0.0 -80.675059,27.66258,0.0 -80.776638,27.738923,0.0 -80.799116,27.649008,0.0 -80.873551,27.681877,0.0 -80.873763,27.730864,0.0 -80.868885,27.822476,0.0 -80.673575,27.8229,0.0 -80.674847,27.707113,0.0 -80.541671,27.707113,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
EVERGLADES-MONROE COUNTY,97,25.6499,4,FL,530.11214,-81.0579,5,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-80.873551,25.451179,0.0 -81.096642,25.445454,0.0 -81.039172,25.514586,0.0 -81.157292,25.557423,0.0 -81.221759,25.554454,0.0 -81.286651,25.682117,0.0 -81.182315,25.708625,0.0 -81.293861,25.803841,0.0 -80.873127,25.805538,0.0 -80.873551,25.451179,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-81.296618,25.697597,0.0 -81.365963,25.780514,0.0 -81.282197,25.79451,0.0 -81.296618,25.697597,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
EVERGLADES-S MONROE CNTY,98,25.3188,48,FL,349.06132,-81.0264,55,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-81.157292,25.557423,0.0 -81.039172,25.514586,0.0 -81.096642,25.445454,0.0 -80.873551,25.451179,0.0 -80.85807,25.176557,0.0 -81.093249,25.120784,0.0 -81.144356,25.165954,0.0 -81.145204,25.32691,0.0 -81.014785,25.21897,0.0 -80.909389,25.232966,0.0 -80.984248,25.345572,0.0 -81.15199,25.389469,0.0 -81.086251,25.431882,0.0 -81.207975,25.498894,0.0 -81.157292,25.557423,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-80.996336,25.216637,0.0 -81.046383,25.238904,0.0 -80.995275,25.282801,0.0 -80.996336,25.216637,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
ORANGE PARK,32003,30.1017,13809,FL,13.36925,-81.7168,13097,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.692329,30.078621,0.0 -81.745769,30.079258,0.0 -81.741952,30.091133,0.0 -81.700387,30.146694,0.0 -81.692329,30.078621,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BRANFORD,32008,29.901,3662,FL,124.78287,-82.8804,3543,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-83.002034,29.825205,0.0 -82.994824,29.931661,0.0 -82.92972,29.955412,0.0 -82.966619,29.995705,0.0 -82.76219,29.986586,0.0 -82.800149,29.932298,0.0 -82.744165,29.869527,0.0 -82.756464,29.855955,0.0 -82.920602,29.824145,0.0 -83.002034,29.825205,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BRYCEVILLE,32009,30.4271,3283,FL,94.17173,-81.9646,3097,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.05008,30.362363,0.0 -82.016786,30.521411,0.0 -81.962922,30.520986,0.0 -81.834411,30.464153,0.0 -81.880217,30.423649,0.0 -82.049656,30.332462,0.0 -82.05008,30.362363,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CALLAHAN,32011,30.5725,11618,FL,153.85755,-81.8388,11277,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.766551,30.51929,0.0 -81.834411,30.464153,0.0 -81.962922,30.520986,0.0 -81.921357,30.668371,0.0 -81.755312,30.672612,0.0 -81.660095,30.561491,0.0 -81.766551,30.51929,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DAY,32013,30.1834,2211,FL,76.27268,-83.297,2181,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-83.24718,30.260572,0.0 -83.226398,30.114884,0.0 -83.171473,30.099192,0.0 -83.368692,30.128456,0.0 -83.367208,30.26036,0.0 -83.283231,30.260148,0.0 -83.24718,30.260572,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LAKE CITY,32024,30.0744,16677,FL,157.58711,-82.7197,15896,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.626257,29.934206,0.0 -82.677153,30.049781,0.0 -82.70981,29.990403,0.0 -82.794,30.019244,0.0 -82.878613,30.087316,0.0 -82.861648,30.08774,0.0 -82.794424,30.073956,0.0 -82.794636,30.203315,0.0 -82.685847,30.1802,0.0 -82.557973,29.925087,0.0 -82.626257,29.934206,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LAKE CITY,32025,30.1155,17720,FL,105.17846,-82.5653,17671,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.560093,30.015851,0.0 -82.529556,29.941204,0.0 -82.557973,29.925087,0.0 -82.685847,30.1802,0.0 -82.458303,30.201618,0.0 -82.458303,30.136515,0.0 -82.473359,30.095375,0.0 -82.568152,30.095162,0.0 -82.560093,30.015851,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ELKTON,32033,29.789,2155,FL,77.93348,-81.4396,2090,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.368719,29.838141,0.0 -81.346665,29.748014,0.0 -81.525859,29.759466,0.0 -81.533069,29.795092,0.0 -81.395227,29.861468,0.0 -81.368719,29.838141,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FORT WHITE,32038,29.9359,5803,FL,83.38096,-82.7075,5487,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.76219,29.986586,0.0 -82.794,30.019244,0.0 -82.70981,29.990403,0.0 -82.677153,30.049781,0.0 -82.626257,29.934206,0.0 -82.710234,29.92127,0.0 -82.642162,29.826902,0.0 -82.744165,29.869527,0.0 -82.800149,29.932298,0.0 -82.76219,29.986586,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
GLEN SAINT MARY,32040,30.2501,8142,FL,149.02514,-82.2128,7853,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.142752,30.143089,0.0 -82.186861,30.142665,0.0 -82.311343,30.141392,0.0 -82.319613,30.260572,0.0 -82.238181,30.372966,0.0 -82.277412,30.424709,0.0 -82.209128,30.422377,0.0 -82.134482,30.362151,0.0 -82.147205,30.273296,0.0 -82.262568,30.205224,0.0 -82.049444,30.193772,0.0 -82.049444,30.143089,0.0 -82.142752,30.143089,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
GREEN COVE SPRINGS,32043,29.9476,20096,FL,184.641,-81.7336,19472,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.7973,29.836657,0.0 -81.811084,29.936539,0.0 -81.897606,29.968985,0.0 -81.897818,29.978527,0.0 -81.839925,30.069079,0.0 -81.745769,30.079258,0.0 -81.692329,30.078621,0.0 -81.590114,29.808028,0.0 -81.7973,29.836657,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
HAMPTON,32044,29.8483,2133,FL,36.22101,-82.1456,2074,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.071499,29.791275,0.0 -82.094189,29.780036,0.0 -82.163534,29.839626,0.0 -82.240937,29.85235,0.0 -82.21761,29.911303,0.0 -82.071499,29.791275,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
HILLIARD,32046,30.7009,8008,FL,207.15082,-81.9134,7755,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.962922,30.520986,0.0 -82.016786,30.521411,0.0 -82.016998,30.79158,0.0 -81.905029,30.828055,0.0 -81.711626,30.74747,0.0 -81.755312,30.672612,0.0 -81.921357,30.668371,0.0 -81.962922,30.520986,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
JASPER,32052,30.4981,8207,FL,334.1294,-82.9024,8114,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-83.172109,30.384841,0.0 -83.201798,30.415167,0.0 -83.178259,30.487268,0.0 -83.038085,30.528621,0.0 -83.055898,30.619384,0.0 -83.023665,30.617475,0.0 -82.68924,30.597753,0.0 -82.726563,30.528833,0.0 -82.668882,30.443795,0.0 -82.74056,30.365968,0.0 -82.890064,30.386538,0.0 -83.082618,30.441675,0.0 -83.172109,30.384841,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
JENNINGS,32053,30.5509,3643,FL,125.02322,-83.1594,3485,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-83.201798,30.415167,0.0 -83.224065,30.46585,0.0 -83.259692,30.595845,0.0 -83.275808,30.632532,0.0 -83.256086,30.63126,0.0 -83.055898,30.619384,0.0 -83.038085,30.528621,0.0 -83.178259,30.487268,0.0 -83.201798,30.415167,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LAKE BUTLER,32054,30.0389,10844,FL,226.94202,-82.389,10718,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.560093,30.015851,0.0 -82.473359,30.095375,0.0 -82.458303,30.136515,0.0 -82.311343,30.141392,0.0 -82.186861,30.142665,0.0 -82.258963,30.028362,0.0 -82.418859,29.923179,0.0 -82.529556,29.941204,0.0 -82.560093,30.015851,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LAKE CITY,32055,30.3771,16067,FL,427.64395,-82.5939,15720,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.459575,30.584181,0.0 -82.458303,30.201618,0.0 -82.685847,30.1802,0.0 -82.794636,30.203315,0.0 -82.794848,30.292806,0.0 -82.689664,30.33331,0.0 -82.668882,30.443795,0.0 -82.726563,30.528833,0.0 -82.68924,30.597753,0.0 -82.584057,30.591816,0.0 -82.459575,30.584181,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LAWTEY,32058,30.0815,4364,FL,54.88791,-82.1076,5184,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.049444,30.143089,0.0 -82.049232,30.055931,0.0 -82.145933,30.01479,0.0 -82.184104,30.066958,0.0 -82.142752,30.143089,0.0 -82.049444,30.143089,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LEE,32059,30.3673,1586,FL,94.53635,-83.2654,1549,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-83.283231,30.260148,0.0 -83.342821,30.390355,0.0 -83.224065,30.46585,0.0 -83.201798,30.415167,0.0 -83.172109,30.384841,0.0 -83.24718,30.260572,0.0 -83.283231,30.260148,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LIVE OAK,32060,30.2756,24192,FL,394.0875,-83.0518,17439,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-83.088344,30.115309,0.0 -83.124819,30.102797,0.0 -83.171473,30.099192,0.0 -83.226398,30.114884,0.0 -83.24718,30.260572,0.0 -83.172109,30.384841,0.0 -83.082618,30.441675,0.0 -82.890064,30.386538,0.0 -82.821356,30.314436,0.0 -82.911907,30.145422,0.0 -83.136483,30.173838,0.0 -83.088344,30.115309,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LULU,32061,30.0696,364,FL,15.61556,-82.5413,354,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.473359,30.095375,0.0 -82.560093,30.015851,0.0 -82.568152,30.095162,0.0 -82.473359,30.095375,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
MC ALPIN,32062,30.13,2388,FL,74.91303,-82.9899,2306,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.878613,30.087316,0.0 -83.088344,30.115309,0.0 -83.136483,30.173838,0.0 -82.911907,30.145422,0.0 -82.828354,30.124427,0.0 -82.861648,30.08774,0.0 -82.878613,30.087316,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
MACCLENNY,32063,30.2645,11578,FL,88.3515,-82.1186,11394,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.049656,30.332462,0.0 -82.049444,30.193772,0.0 -82.262568,30.205224,0.0 -82.147205,30.273296,0.0 -82.134482,30.362151,0.0 -82.05008,30.362363,0.0 -82.049656,30.332462,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LIVE OAK,32064,30.2946,0,FL,6.52513,-82.9873,6149,
ORANGE PARK,32065,30.1353,16984,FL,8.22514,-81.7788,16973,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.766339,30.112764,0.0 -81.803238,30.137151,0.0 -81.745557,30.140332,0.0 -81.766339,30.112764,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
MAYO,32066,29.9619,4273,FL,423.88434,-83.1866,4167,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-83.002034,29.825205,0.0 -83.318857,29.822661,0.0 -83.370601,29.901336,0.0 -83.368692,30.128456,0.0 -83.171473,30.099192,0.0 -83.124819,30.102797,0.0 -82.966619,29.995705,0.0 -82.92972,29.955412,0.0 -82.994824,29.931661,0.0 -83.002034,29.825205,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
MIDDLEBURG,32068,30.0895,37784,FL,113.1395,-81.883,36109,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.745769,30.079258,0.0 -81.839925,30.069079,0.0 -81.897818,29.978527,0.0 -81.981372,30.05487,0.0 -81.920297,30.186986,0.0 -81.901211,30.18741,0.0 -81.866645,30.188046,0.0 -81.853285,30.18847,0.0 -81.803238,30.137151,0.0 -81.766339,30.112764,0.0 -81.741952,30.091133,0.0 -81.745769,30.079258,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
O BRIEN,32071,30.0361,3094,FL,91.78359,-82.9302,3009,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-83.124819,30.102797,0.0 -83.088344,30.115309,0.0 -82.878613,30.087316,0.0 -82.794,30.019244,0.0 -82.76219,29.986586,0.0 -82.966619,29.995705,0.0 -83.124819,30.102797,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ORANGE PARK,32073,30.1712,41822,FL,22.94691,-81.7645,41094,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.745557,30.140332,0.0 -81.803238,30.137151,0.0 -81.853285,30.18847,0.0 -81.826777,30.189107,0.0 -81.707597,30.196105,0.0 -81.689784,30.194832,0.0 -81.745557,30.140332,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
SAINT AUGUSTINE,32080,29.8176,17442,FL,15.58002,-81.2717,16658,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-81.274775,29.881826,0.0 -81.27117,29.881402,0.0 -81.229606,29.706662,0.0 -81.274775,29.881826,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-81.219002,29.670611,0.0 -81.235119,29.700512,0.0 -81.213065,29.670823,0.0 -81.219002,29.670611,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
PONTE VEDRA BEACH,32082,30.1425,30213,FL,58.98757,-81.3838,28284,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.37084,30.065898,0.0 -81.384836,30.130789,0.0 -81.432127,30.10619,0.0 -81.437004,30.25209,0.0 -81.430854,30.252302,0.0 -81.380383,30.252938,0.0 -81.303404,29.952019,0.0 -81.328003,29.971953,0.0 -81.37084,30.065898,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
RAIFORD,32083,30.0921,2696,FL,22.36437,-82.1957,2707,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.22164,30.037057,0.0 -82.258963,30.028362,0.0 -82.186861,30.142665,0.0 -82.142752,30.143089,0.0 -82.184104,30.066958,0.0 -82.22164,30.037057,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
SAINT AUGUSTINE,32084,29.9026,23261,FL,40.23675,-81.3559,22781,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-81.328003,29.971953,0.0 -81.303404,29.952019,0.0 -81.291952,29.909395,0.0 -81.328003,29.971953,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-81.308705,29.867406,0.0 -81.368719,29.838141,0.0 -81.395227,29.861468,0.0 -81.423008,29.933146,0.0 -81.313159,29.936539,0.0 -81.308705,29.867406,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
SAINT AUGUSTINE,32086,29.7544,19924,FL,66.30094,-81.3036,19512,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.219002,29.670611,0.0 -81.287287,29.657039,0.0 -81.346665,29.748014,0.0 -81.368719,29.838141,0.0 -81.308705,29.867406,0.0 -81.235119,29.700512,0.0 -81.219002,29.670611,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
SANDERSON,32087,30.3819,3024,FL,351.76766,-82.3574,3001,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.458303,30.136515,0.0 -82.458303,30.201618,0.0 -82.459575,30.584181,0.0 -82.418859,30.581849,0.0 -82.214854,30.568489,0.0 -82.209128,30.422377,0.0 -82.277412,30.424709,0.0 -82.238181,30.372966,0.0 -82.319613,30.260572,0.0 -82.311343,30.141392,0.0 -82.458303,30.136515,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
STARKE,32091,29.9594,17020,FL,193.10504,-82.0701,16061,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.21761,29.911303,0.0 -82.22164,30.037057,0.0 -82.184104,30.066958,0.0 -82.145933,30.01479,0.0 -82.049232,30.055931,0.0 -81.981372,30.05487,0.0 -81.897818,29.978527,0.0 -81.897606,29.968985,0.0 -81.897394,29.922331,0.0 -82.04796,29.910243,0.0 -82.048596,29.784277,0.0 -82.071499,29.791275,0.0 -82.21761,29.911303,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
SAINT AUGUSTINE,32092,29.9355,6886,FL,129.84258,-81.5134,6548,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.66879,30.056567,0.0 -81.613653,30.00864,0.0 -81.49829,30.065049,0.0 -81.423008,29.933146,0.0 -81.395227,29.861468,0.0 -81.533069,29.795092,0.0 -81.593507,29.910667,0.0 -81.555336,29.96856,0.0 -81.66879,30.056567,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
WELLBORN,32094,30.188,2314,FL,56.66064,-82.8388,2180,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.911907,30.145422,0.0 -82.821356,30.314436,0.0 -82.794848,30.292806,0.0 -82.794636,30.203315,0.0 -82.794424,30.073956,0.0 -82.861648,30.08774,0.0 -82.828354,30.124427,0.0 -82.911907,30.145422,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
SAINT AUGUSTINE,32095,30.0236,5400,FL,82.21434,-81.4109,5287,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.313159,29.936539,0.0 -81.423008,29.933146,0.0 -81.49829,30.065049,0.0 -81.478781,30.104705,0.0 -81.432127,30.10619,0.0 -81.384836,30.130789,0.0 -81.37084,30.065898,0.0 -81.313159,29.936539,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
WHITE SPRINGS,32096,30.3644,2532,FL,72.50176,-82.7613,2501,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.794848,30.292806,0.0 -82.821356,30.314436,0.0 -82.890064,30.386538,0.0 -82.74056,30.365968,0.0 -82.668882,30.443795,0.0 -82.689664,30.33331,0.0 -82.794848,30.292806,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
YULEE,32097,30.6554,10789,FL,124.38781,-81.6413,10546,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.755312,30.672612,0.0 -81.711626,30.74747,0.0 -81.654581,30.744289,0.0 -81.567635,30.718418,0.0 -81.514195,30.6724,0.0 -81.550882,30.543041,0.0 -81.606019,30.585666,0.0 -81.660095,30.561491,0.0 -81.755312,30.672612,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ASTOR,32102,29.1604,2471,FL,49.31858,-81.5669,2400,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-81.501259,29.0868,0.0 -81.533705,29.081286,0.0 -81.56912,29.152963,0.0 -81.640585,29.144269,0.0 -81.641009,29.168868,0.0 -81.638677,29.270235,0.0 -81.501259,29.0868,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-81.547277,29.185197,0.0 -81.464784,29.171201,0.0 -81.503804,29.125395,0.0 -81.547277,29.185197,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
BUNNELL,32110,29.43,6289,FL,283.81561,-81.3676,6012,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.417706,29.321342,0.0 -81.433611,29.398109,0.0 -81.520557,29.500324,0.0 -81.523102,29.59342,0.0 -81.523526,29.622472,0.0 -81.485991,29.616111,0.0 -81.267565,29.481662,0.0 -81.174893,29.403623,0.0 -81.273927,29.263449,0.0 -81.329488,29.262388,0.0 -81.417282,29.261116,0.0 -81.417706,29.321342,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CRESCENT CITY,32112,29.4321,8313,FL,100.12871,-81.6059,8516,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-81.433611,29.398109,0.0 -81.554063,29.353364,0.0 -81.648856,29.410833,0.0 -81.675788,29.487176,0.0 -81.643978,29.491205,0.0 -81.606231,29.448156,0.0 -81.570604,29.506049,0.0 -81.558092,29.506474,0.0 -81.520557,29.500324,0.0 -81.433611,29.398109,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-81.668578,29.371601,0.0 -81.741315,29.370965,0.0 -81.708446,29.429494,0.0 -81.776094,29.480602,0.0 -81.69148,29.467666,0.0 -81.668578,29.371601,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
CITRA,32113,29.3952,5708,FL,63.39942,-82.1007,5507,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.046899,29.351031,0.0 -82.126423,29.327916,0.0 -82.13639,29.320494,0.0 -82.163746,29.330673,0.0 -82.212945,29.432675,0.0 -82.097158,29.419315,0.0 -82.032055,29.492053,0.0 -82.046899,29.351031,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DAYTONA BEACH,32114,29.194,35481,FL,17.45524,-81.0541,35247,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.08307,29.167808,0.0 -81.103216,29.219976,0.0 -81.086463,29.226974,0.0 -81.023904,29.230367,0.0 -81.003546,29.185621,0.0 -81.075647,29.155296,0.0 -81.08307,29.167808,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DAYTONA BEACH,32117,29.2342,23703,FL,8.56084,-81.06,23605,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.086463,29.226974,0.0 -81.043626,29.262176,0.0 -81.023904,29.230367,0.0 -81.086463,29.226974,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DAYTONA BEACH,32118,29.2157,18415,FL,4.00965,-81.0055,18316,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-80.968343,29.151479,0.0 -80.974069,29.148934,0.0 -81.03684,29.264933,0.0 -81.027509,29.268538,0.0 -80.968343,29.151479,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DAYTONA BEACH,32119,29.1584,41225,FL,7.95402,-81.0325,21864,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-80.988489,29.14957,0.0 -81.046595,29.127516,0.0 -81.075647,29.155296,0.0 -81.003546,29.185621,0.0 -80.988489,29.14957,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DAYTONA BEACH,32124,29.1557,13230,FL,104.85228,-81.1704,4167,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-81.08307,29.167808,0.0 -81.084766,29.062836,0.0 -81.126543,29.024877,0.0 -81.163654,29.163991,0.0 -81.25887,29.137695,0.0 -81.309342,29.218279,0.0 -81.329488,29.262388,0.0 -81.273927,29.263449,0.0 -81.244874,29.18032,0.0 -81.103216,29.219976,0.0 -81.08307,29.167808,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
