ANTIOCH,60002,42.4682,20044,IL,41.62915,-88.0885,19549,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-88.004018,42.444356,0.0 -88.13972,42.415985,0.0 -88.160913,42.415643,0.0 -88.200222,42.495971,0.0 -88.182106,42.495971,0.0 -88.176978,42.495971,0.0 -88.094258,42.495971,0.0 -88.025211,42.495629,0.0 -87.95172,42.494604,0.0 -87.952403,42.479905,0.0 -88.004018,42.444356,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ARLINGTON HEIGHTS,60004,42.1119,52124,IL,11.20095,-87.979,52046,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-88.004702,42.093992,0.0 -88.017349,42.15381,0.0 -88.00436,42.153468,0.0 -87.960949,42.132275,0.0 -87.951378,42.117919,0.0 -87.951378,42.095359,0.0 -87.965734,42.075875,0.0 -88.004702,42.093992,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ELK GROVE VILLAGE,60007,42.0097,35395,IL,15.60042,-87.9969,35531,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-88.046062,41.99213,0.0 -88.050847,41.99213,0.0 -88.06076,41.998966,0.0 -88.031022,42.025286,0.0 -88.011196,42.031439,0.0 -87.940781,42.018108,0.0 -87.933945,42.001359,0.0 -87.939072,41.993497,0.0 -87.964025,41.983584,0.0 -87.988978,41.992813,0.0 -88.046062,41.99213,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ROLLING MEADOWS,60008,42.0749,23526,IL,5.1472,-88.0228,23112,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-88.009487,42.050923,0.0 -88.03068,42.063228,0.0 -88.020083,42.100486,0.0 -88.016323,42.098777,0.0 -88.009487,42.050923,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CRYSTAL LAKE,60012,42.2728,9760,IL,18.77469,-88.3104,9581,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-88.229277,42.27789,0.0 -88.375233,42.248152,0.0 -88.352673,42.305919,0.0 -88.229277,42.27789,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CARY,60013,42.2209,24690,IL,15.30828,-88.2351,23955,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-88.198855,42.203032,0.0 -88.255597,42.19141,0.0 -88.28636,42.190043,0.0 -88.286702,42.211577,0.0 -88.217997,42.260799,0.0 -88.209109,42.248836,0.0 -88.198855,42.203032,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DEERFIELD,60015,42.173,26508,IL,13.41046,-87.8755,25956,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.91036,42.153126,0.0 -87.917196,42.15757,0.0 -87.923007,42.171926,0.0 -87.886774,42.200297,0.0 -87.85225,42.204057,0.0 -87.821145,42.152443,0.0 -87.91036,42.153126,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DES PLAINES,60018,42.0096,30112,IL,9.54241,-87.8953,29738,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.85601,41.98085,0.0 -87.861821,41.972988,0.0 -87.876178,41.972988,0.0 -87.933945,42.001359,0.0 -87.940781,42.018108,0.0 -87.94044,42.022552,0.0 -87.94044,42.030072,0.0 -87.865239,42.024602,0.0 -87.855668,41.989053,0.0 -87.85601,41.98085,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FOX LAKE,60020,42.4052,7354,IL,5.90249,-88.173,7219,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-88.199538,42.394792,0.0 -88.192018,42.406756,0.0 -88.160913,42.415643,0.0 -88.13972,42.415985,0.0 -88.13972,42.405731,0.0 -88.199538,42.394792,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FOX RIVER GROVE,60021,42.1945,5883,IL,2.3603,-88.2203,5606,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-88.247393,42.186625,0.0 -88.255597,42.19141,0.0 -88.198855,42.203032,0.0 -88.247393,42.186625,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
