VOYAGEURS NATL PARK,59,48.408,65,MN,387.73093,-92.7802,20,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-92.45866,48.335916,0.0 -92.71215,48.238589,0.0 -92.822124,48.205597,0.0 -92.927149,48.36066,0.0 -92.784733,48.415097,0.0 -93.011829,48.425545,0.0 -93.090461,48.499777,0.0 -93.089911,48.595455,0.0 -92.654964,48.533319,0.0 -92.714899,48.468985,0.0 -92.45646,48.413998,0.0 -92.45866,48.335916,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
SUPERIOR NATIONAL FOREST,60,48.117,37,MN,662.8281,-92.1379,30,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-92.425668,47.975201,0.0 -92.452611,48.160508,0.0 -92.334389,48.23419,0.0 -92.2893,48.345264,0.0 -92.075401,48.36011,0.0 -91.798266,48.202848,0.0 -91.799916,48.060431,0.0 -92.16118,47.887222,0.0 -92.425668,47.975201,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
SUPERIOR NATIONAL FOREST,160,47.9465,322,MN,526.14478,-90.7457,257,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-90.76506,47.610088,0.0 -90.76671,47.911966,0.0 -90.895379,47.887772,0.0 -91.02075,47.887772,0.0 -91.026249,47.888322,0.0 -91.031747,48.188551,0.0 -90.898679,48.240239,0.0 -90.778807,48.036237,0.0 -90.388949,47.983449,0.0 -90.663334,47.916365,0.0 -90.389499,47.877325,0.0 -90.55666,47.760752,0.0 -90.707324,47.635932,0.0 -90.76506,47.610088,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-90.535764,47.729959,0.0 -90.410394,47.736008,0.0 -90.522568,47.706865,0.0 -90.535764,47.729959,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
SUPERIOR NATIONAL FOREST,161,48.0093,240,MN,527.71898,-91.4014,175,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-91.026249,47.888322,0.0 -91.27589,47.887772,0.0 -91.589315,47.891071,0.0 -91.797716,47.932312,0.0 -91.799916,48.060431,0.0 -91.798266,48.202848,0.0 -91.567871,48.043935,0.0 -91.031747,48.188551,0.0 -91.026249,47.888322,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
NORTHWEST BELTRAMI CNTY,164,48.4523,43,MN,215.0733,-95.4069,43,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.342728,48.540468,0.0 -95.211309,48.535519,0.0 -95.21021,48.366159,0.0 -95.601167,48.365609,0.0 -95.602267,48.538818,0.0 -95.601717,48.538818,0.0 -95.342728,48.540468,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BELTRAMI ISL STATE FOR,165,48.535,23,MN,582.56177,-95.0079,23,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-94.559713,48.367259,0.0 -95.20691,48.366159,0.0 -95.21021,48.366159,0.0 -95.211309,48.535519,0.0 -95.342728,48.540468,0.0 -95.330081,48.713127,0.0 -94.958369,48.713677,0.0 -94.821451,48.670787,0.0 -94.746669,48.432143,0.0 -94.559713,48.367259,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
RED LAKE INDIAN RES,166,48.2104,26,MN,696.70119,-95.0502,25,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.583021,48.020291,0.0 -95.593469,48.173155,0.0 -95.204711,48.1935,0.0 -95.20691,48.366159,0.0 -94.559713,48.367259,0.0 -94.428844,48.367259,0.0 -94.424445,48.27928,0.0 -94.553665,48.200648,0.0 -95.229455,48.019741,0.0 -95.484595,48.020841,0.0 -95.583021,48.020291,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AFTON,55001,44.9023,2888,MN,26.99644,-92.8195,2851,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-92.862265,44.861837,0.0 -92.862814,44.948717,0.0 -92.843019,44.948717,0.0 -92.781434,44.949267,0.0 -92.767687,44.904177,0.0 -92.763838,44.875034,0.0 -92.769337,44.862387,0.0 -92.862265,44.848091,0.0 -92.862265,44.861837,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BAYPORT,55003,45.0149,2880,MN,2.16055,-92.776,2871,
BETHEL,55005,45.3921,3417,MN,19.46008,-93.2226,3288,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-93.120703,45.374866,0.0 -93.143248,45.374866,0.0 -93.34725,45.374866,0.0 -93.34725,45.377615,0.0 -93.271368,45.413907,0.0 -93.142148,45.413357,0.0 -93.120703,45.374866,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BRAHAM,55006,45.7358,2810,MN,58.57626,-93.2335,2700,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-93.064617,45.731182,0.0 -93.09266,45.716885,0.0 -93.34835,45.687192,0.0 -93.38904,45.720734,0.0 -93.379142,45.730632,0.0 -93.224629,45.795517,0.0 -93.142148,45.791118,0.0 -93.064617,45.731182,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BROOK PARK,55007,45.9511,2439,MN,176.1059,-92.9289,2267,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-92.686306,45.902741,0.0 -93.142148,45.904941,0.0 -93.222979,46.03306,0.0 -92.555437,45.983022,0.0 -92.525744,45.983572,0.0 -92.610974,45.936283,0.0 -92.686306,45.902741,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CAMBRIDGE,55008,45.5746,13692,MN,116.15626,-93.2841,12711,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-93.437978,45.511234,0.0 -93.43028,45.644852,0.0 -93.38904,45.644852,0.0 -93.141599,45.636054,0.0 -93.142148,45.557973,0.0 -93.13555,45.48594,0.0 -93.437978,45.511234,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CANNON FALLS,55009,44.4891,8126,MN,130.62758,-92.8704,8000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-92.830372,44.370254,0.0 -92.918901,44.388399,0.0 -93.039323,44.486276,0.0 -93.039323,44.51267,0.0 -92.913952,44.586902,0.0 -92.855666,44.609997,0.0 -92.774285,44.600649,0.0 -92.742943,44.467581,0.0 -92.803978,44.370254,0.0 -92.830372,44.370254,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CEDAR,55011,45.3408,9584,MN,45.64476,-93.2545,9301,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-93.143248,45.374866,0.0 -93.233977,45.297884,0.0 -93.34725,45.298434,0.0 -93.34725,45.374866,0.0 -93.143248,45.374866,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CENTER CITY,55012,45.4488,2043,MN,32.59275,-92.7896,1806,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-92.75504,45.469444,0.0 -92.780884,45.35837,0.0 -92.816625,45.491439,0.0 -92.738544,45.524431,0.0 -92.75504,45.469444,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CHISAGO CITY,55013,45.3491,4978,MN,30.88991,-92.8888,4894,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-92.906804,45.296235,0.0 -92.937597,45.320979,0.0 -92.954093,45.345173,0.0 -92.88096,45.421605,0.0 -92.816075,45.296785,0.0 -92.906804,45.296235,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CIRCLE PINES,55014,45.1693,27286,MN,25.32341,-93.1222,25131,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-93.097059,45.124125,0.0 -93.183939,45.124125,0.0 -93.142148,45.211005,0.0 -93.142698,45.225851,0.0 -93.073965,45.193959,0.0 -93.09156,45.124125,0.0 -93.097059,45.124125,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DALBO,55017,45.6887,645,MN,33.17829,-93.4369,616,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-93.34835,45.687192,0.0 -93.38904,45.644852,0.0 -93.43028,45.644852,0.0 -93.492965,45.688842,0.0 -93.513861,45.734481,0.0 -93.38904,45.720734,0.0 -93.34835,45.687192,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DENNISON,55018,44.4203,885,MN,45.32297,-92.996,897,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-92.946945,44.355957,0.0 -93.080563,44.406545,0.0 -93.039323,44.486276,0.0 -92.918901,44.388399,0.0 -92.946945,44.355957,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DUNDAS,55019,44.4078,777,MN,17.69312,-93.2506,771,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-93.22023,44.370254,0.0 -93.321956,44.42744,0.0 -93.281815,44.443386,0.0 -93.22023,44.370254,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ELKO,55020,44.5788,3085,MN,42.23854,-93.4059,2785,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-93.501763,44.543463,0.0 -93.484168,44.630342,0.0 -93.481968,44.630342,0.0 -93.39124,44.630342,0.0 -93.299411,44.549511,0.0 -93.483618,44.543463,0.0 -93.501763,44.543463,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FARMINGTON,55024,44.6309,22116,MN,90.92532,-93.1341,21226,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-93.035474,44.566557,0.0 -93.13665,44.551161,0.0 -93.248273,44.544012,0.0 -93.217481,44.695227,0.0 -93.037673,44.685879,0.0 -93.00743,44.658935,0.0 -93.035474,44.566557,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FOREST LAKE,55025,45.264,19161,MN,84.76692,-93.0157,18917,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-92.885909,45.228051,0.0 -92.896906,45.210455,0.0 -93.073965,45.193959,0.0 -93.142698,45.225851,0.0 -93.142148,45.286887,0.0 -92.937597,45.320979,0.0 -92.906804,45.296235,0.0 -92.885909,45.228051,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FRONTENAC,55026,44.5156,404,MN,2.39106,-92.3336,399,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-92.314594,44.501123,0.0 -92.358584,44.509921,0.0 -92.33274,44.535215,0.0 -92.314594,44.501123,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
