ARNOLD,63010,38.4309,34675,MO,22.02567,-90.3951,34225,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.347159,38.386018,0.0 -90.460432,38.450353,0.0 -90.414793,38.463,0.0 -90.376302,38.453652,0.0 -90.34441,38.390417,0.0 -90.347159,38.386018,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BALLWIN,63011,38.6037,38401,MO,14.22246,-90.5575,37746,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.479678,38.596068,0.0 -90.607248,38.587271,0.0 -90.627593,38.582322,0.0 -90.624294,38.629061,0.0 -90.585803,38.608166,0.0 -90.490675,38.626311,0.0 -90.479678,38.596068,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BARNHART,63012,38.3332,9961,MO,26.41968,-90.4455,9750,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.47143,38.298039,0.0 -90.524217,38.345328,0.0 -90.500023,38.370072,0.0 -90.374653,38.33488,0.0 -90.375752,38.318934,0.0 -90.47143,38.298039,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BEAUFORT,63013,38.4098,1607,MO,43.08528,-91.1451,1569,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-91.125775,38.341479,0.0 -91.160417,38.352476,0.0 -91.219253,38.433307,0.0 -91.129624,38.470148,0.0 -91.102131,38.453652,0.0 -91.079036,38.356325,0.0 -91.125775,38.341479,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BERGER,63014,38.6403,1274,MO,50.1801,-91.3312,1034,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-91.367718,38.54658,0.0 -91.375416,38.542181,0.0 -91.369367,38.697245,0.0 -91.228051,38.620813,0.0 -91.367718,38.54658,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CATAWISSA,63015,38.3912,1990,MO,15.02673,-90.7487,1665,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.727669,38.355775,0.0 -90.736467,38.349177,0.0 -90.793654,38.413512,0.0 -90.689728,38.407463,0.0 -90.727669,38.355775,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CEDAR HILL,63016,38.3572,7216,MO,27.00319,-90.6497,7233,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.630892,38.317834,0.0 -90.727669,38.355775,0.0 -90.689728,38.407463,0.0 -90.687529,38.409663,0.0 -90.562158,38.343678,0.0 -90.630892,38.317834,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CHESTERFIELD,63017,38.6512,42090,MO,19.73089,-90.5364,42170,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.485726,38.629611,0.0 -90.490675,38.626311,0.0 -90.585803,38.608166,0.0 -90.572606,38.680199,0.0 -90.536314,38.687347,0.0 -90.487926,38.682948,0.0 -90.485726,38.629611,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CRYSTAL CITY,63019,38.2304,3790,MO,2.73247,-90.3769,3876,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.359256,38.216658,0.0 -90.380151,38.248551,0.0 -90.369704,38.248551,0.0 -90.359256,38.216658,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DE SOTO,63020,38.1056,20017,MO,144.80583,-90.5609,19758,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.416993,38.042899,0.0 -90.492325,38.023104,0.0 -90.584703,38.003858,0.0 -90.712273,38.134728,0.0 -90.741966,38.163871,0.0 -90.754063,38.177617,0.0 -90.679281,38.184216,0.0 -90.528066,38.212259,0.0 -90.416443,38.042349,0.0 -90.416993,38.042899,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DITTMER,63023,38.267,5337,MO,61.90238,-90.7127,5215,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.630892,38.317834,0.0 -90.679281,38.184216,0.0 -90.754063,38.177617,0.0 -90.779907,38.204011,0.0 -90.779907,38.20841,0.0 -90.747464,38.298039,0.0 -90.736467,38.349177,0.0 -90.727669,38.355775,0.0 -90.630892,38.317834,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
EUREKA,63025,38.4886,11404,MO,39.58441,-90.6221,11112,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.659485,38.426159,0.0 -90.668833,38.54658,0.0 -90.608897,38.542181,0.0 -90.570956,38.533383,0.0 -90.574255,38.458051,0.0 -90.659485,38.426159,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FENTON,63026,38.5019,41983,MO,27.25869,-90.4612,42074,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.460432,38.450353,0.0 -90.489026,38.450353,0.0 -90.51322,38.536133,0.0 -90.463182,38.552629,0.0 -90.434039,38.543281,0.0 -90.42744,38.511388,0.0 -90.414793,38.463,0.0 -90.460432,38.450353,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FESTUS,63028,38.1494,23067,MO,119.55002,-90.3973,22867,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.528066,38.212259,0.0 -90.452734,38.246351,0.0 -90.405445,38.264497,0.0 -90.380151,38.248551,0.0 -90.359256,38.216658,0.0 -90.255881,38.126479,0.0 -90.351008,37.999459,0.0 -90.416443,38.042349,0.0 -90.528066,38.212259,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FLETCHER,63030,38.1434,219,MO,9.58367,-90.7535,211,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.712273,38.134728,0.0 -90.778257,38.12373,0.0 -90.741966,38.163871,0.0 -90.712273,38.134728,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FLORISSANT,63031,38.8115,50256,MO,14.99685,-90.3481,50526,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.324065,38.768728,0.0 -90.42744,38.820965,0.0 -90.339461,38.861656,0.0 -90.307019,38.821515,0.0 -90.307568,38.772577,0.0 -90.324065,38.768728,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FLORISSANT,63033,38.7958,44141,MO,12.09798,-90.2778,44238,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.280075,38.771477,0.0 -90.307568,38.772577,0.0 -90.307019,38.821515,0.0 -90.230037,38.814367,0.0 -90.234436,38.785224,0.0 -90.280075,38.771477,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FLORISSANT,63034,38.8467,17152,MO,18.16324,-90.288,16798,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.237185,38.84131,0.0 -90.230037,38.814367,0.0 -90.307019,38.821515,0.0 -90.339461,38.861656,0.0 -90.237185,38.84131,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FRENCH VILLAGE,63036,37.9911,698,MO,15.11818,-90.376,685,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.351008,37.999459,0.0 -90.328463,37.95492,0.0 -90.414793,37.975815,0.0 -90.416993,38.042899,0.0 -90.416443,38.042349,0.0 -90.351008,37.999459,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
GERALD,63037,38.4181,3365,MO,78.61335,-91.3154,3154,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-91.288537,38.300238,0.0 -91.303383,38.295839,0.0 -91.367718,38.46135,0.0 -91.368268,38.535033,0.0 -91.254994,38.488294,0.0 -91.288537,38.300238,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
GLENCOE,63038,38.5821,5500,MO,18.47724,-90.6702,6886,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.668833,38.54658,0.0 -90.731518,38.592769,0.0 -90.624294,38.629061,0.0 -90.627593,38.582322,0.0 -90.600649,38.575173,0.0 -90.608897,38.542181,0.0 -90.668833,38.54658,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
GRAY SUMMIT,63039,38.4954,808,MO,4.36942,-90.8347,827,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.822797,38.483895,0.0 -90.85249,38.508639,0.0 -90.804101,38.497092,0.0 -90.822797,38.483895,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
GROVER,63040,38.5736,8202,MO,4.95281,-90.6397,6943,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.627593,38.582322,0.0 -90.607248,38.587271,0.0 -90.600649,38.575173,0.0 -90.627593,38.582322,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
GRUBVILLE,63041,38.2546,443,MO,11.59817,-90.7871,429,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-90.779907,38.20841,0.0 -90.818948,38.263947,0.0 -90.795303,38.277144,0.0 -90.780457,38.306287,0.0 -90.747464,38.298039,0.0 -90.779907,38.20841,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
