BENTON LAKE NWR,63,47.6703,3,MT,17.20713,-111.332,3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.3247,47.64253,0.0 -111.408831,47.698067,0.0 -111.297207,47.698067,0.0 -111.287309,47.665625,0.0 -111.3247,47.64253,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
YELLOWSTONE NATL PARK,75,44.938,63,MT,247.76542,-110.792,61,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-110.56643,44.992157,0.0 -111.055264,45.001504,0.0 -111.049216,44.474179,0.0 -111.095954,44.486276,0.0 -111.153691,45.055941,0.0 -111.045366,45.073537,0.0 -110.772081,45.066939,0.0 -110.712145,45.033397,0.0 -110.697849,45.029548,0.0 -110.56643,44.992157,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-110.001713,45.003704,0.0 -110.516391,44.992157,0.0 -110.554332,44.992157,0.0 -110.56478,44.992157,0.0 -110.659358,45.029548,0.0 -110.001713,45.003704,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
CAMP CROOK,57724,45.4671,46,MT,190.0232,-104.178,230,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-104.042222,45.567321,0.0 -104.040572,45.461196,0.0 -104.040022,45.336925,0.0 -104.335852,45.419955,0.0 -104.309459,45.599213,0.0 -104.171991,45.582717,0.0 -104.042222,45.567321,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ABSAROKEE,59001,45.5104,1637,MT,162.74283,-109.625,1598,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-109.406754,45.543676,0.0 -109.410603,45.496387,0.0 -109.71798,45.407858,0.0 -109.828504,45.522231,0.0 -109.562367,45.634405,0.0 -109.562367,45.646502,0.0 -109.561267,45.556873,0.0 -109.406754,45.543676,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ACTON,59002,45.914,80,MT,41.96263,-108.674,79,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-108.751309,45.852153,0.0 -108.715017,45.943432,0.0 -108.612192,45.972025,0.0 -108.552806,45.943432,0.0 -108.66003,45.86755,0.0 -108.751309,45.852153,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ASHLAND,59003,45.5474,382,MT,36.09566,-106.267,384,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-106.233454,45.642653,0.0 -106.234004,45.453497,0.0 -106.33463,45.509584,0.0 -106.277443,45.633305,0.0 -106.233454,45.642653,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BALLANTINE,59006,45.904,913,MT,65.69477,-108.091,853,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-108.047475,45.805964,0.0 -108.23773,45.918688,0.0 -107.991938,45.987971,0.0 -108.047475,45.805964,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BEARCREEK,59007,45.1667,400,MT,74.15967,-109.098,394,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-109.009748,45.116427,0.0 -109.220348,45.114778,0.0 -109.172509,45.233,0.0 -108.960809,45.202757,0.0 -109.009748,45.116427,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BELFRY,59008,45.0637,55,MT,55.33752,-109.129,54,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-109.009748,45.116427,0.0 -109.081781,44.999855,0.0 -109.263238,45.005353,0.0 -109.173609,45.029548,0.0 -109.220348,45.114778,0.0 -109.009748,45.116427,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BIGHORN,59010,46.0732,153,MT,480.92884,-107.174,155,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-107.511352,46.043508,0.0 -107.466262,46.143034,0.0 -107.175931,46.261806,0.0 -107.007671,46.265106,0.0 -106.938937,46.07925,0.0 -106.938937,45.870299,0.0 -107.511352,46.043508,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
