ABIE,68001,41.3217,292,NE,12.01175,-96.9657,176,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.908758,41.306928,0.0 -97.023681,41.306928,0.0 -97.023131,41.336071,0.0 -96.907658,41.336071,0.0 -96.908758,41.306928,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ARLINGTON,68002,41.503,2422,NE,88.29462,-96.3322,2408,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.269809,41.393257,0.0 -96.329195,41.399856,0.0 -96.425422,41.480137,0.0 -96.424872,41.596709,0.0 -96.405627,41.596159,0.0 -96.30995,41.59286,0.0 -96.261561,41.494433,0.0 -96.204375,41.393257,0.0 -96.269809,41.393257,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ASHLAND,68003,41.0748,4308,NE,116.54548,-96.3923,4262,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.283006,41.021545,0.0 -96.235167,41.005599,0.0 -96.235717,40.979205,0.0 -96.34954,40.978655,0.0 -96.463913,41.016046,0.0 -96.540345,41.04519,0.0 -96.56289,41.089179,0.0 -96.540345,41.088629,0.0 -96.463363,41.132069,0.0 -96.353389,41.206851,0.0 -96.316548,41.125471,0.0 -96.283006,41.021545,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BANCROFT,68004,42.0124,1004,NE,80.51662,-96.6356,985,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.574437,41.93048,0.0 -96.593683,41.93048,0.0 -96.709705,41.988766,0.0 -96.787237,42.003063,0.0 -96.787237,42.032206,0.0 -96.555741,42.089943,0.0 -96.554642,42.01626,0.0 -96.574437,41.93048,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BENNINGTON,68007,41.3712,2362,NE,38.96601,-96.1916,2301,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.117495,41.407554,0.0 -96.13894,41.321224,0.0 -96.196676,41.321224,0.0 -96.268159,41.378961,0.0 -96.269809,41.393257,0.0 -96.204375,41.393257,0.0 -96.155986,41.436697,0.0 -96.117495,41.407554,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BOYS TOWN,68010,41.2559,838,NE,1.47331,-96.134,831,
BRUNO,68014,41.2637,296,NE,35.84202,-96.9658,297,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.908208,41.220048,0.0 -97.023131,41.220048,0.0 -97.023681,41.306928,0.0 -96.908758,41.306928,0.0 -96.908208,41.234895,0.0 -96.908208,41.220048,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CEDAR BLUFFS,68015,41.3911,828,NE,48.01965,-96.6507,1037,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.736649,41.350917,0.0 -96.73225,41.429549,0.0 -96.673964,41.428999,0.0 -96.60468,41.434498,0.0 -96.56014,41.37951,0.0 -96.678362,41.350917,0.0 -96.736649,41.350917,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CERESCO,68017,41.0636,1752,NE,70.55054,-96.6592,1619,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.661317,40.987453,0.0 -96.700907,41.0023,0.0 -96.743247,41.045739,0.0 -96.754794,41.118322,0.0 -96.697058,41.132619,0.0 -96.56289,41.089179,0.0 -96.540345,41.04519,0.0 -96.584335,41.0012,0.0 -96.642071,40.986903,0.0 -96.661317,40.987453,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
COLON,68018,41.3085,616,NE,48.95687,-96.6105,550,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.56344,41.263488,0.0 -96.678912,41.249191,0.0 -96.678362,41.350917,0.0 -96.56014,41.37951,0.0 -96.52165,41.306928,0.0 -96.56344,41.263488,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CRAIG,68019,41.7823,595,NE,74.32148,-96.3736,631,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.347341,41.901337,0.0 -96.328645,41.683589,0.0 -96.444668,41.683589,0.0 -96.463363,41.741875,0.0 -96.347341,41.901337,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DECATUR,68020,41.975,889,NE,78.50973,-96.2659,895,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-96.144989,41.916734,0.0 -96.347341,41.915634,0.0 -96.385832,42.031656,0.0 -96.385832,42.045953,0.0 -96.274208,42.047053,0.0 -96.144989,41.916734,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-96.254963,42.039355,0.0 -96.233518,42.039904,0.0 -96.235717,42.014061,0.0 -96.237917,42.012961,0.0 -96.254963,42.039355,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
ELKHORN,68022,41.2808,9387,NE,41.3262,-96.2507,9250,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.234068,41.219498,0.0 -96.234068,41.190355,0.0 -96.305001,41.190355,0.0 -96.274758,41.306378,0.0 -96.268159,41.378961,0.0 -96.196676,41.321224,0.0 -96.195027,41.277785,0.0 -96.196126,41.248641,0.0 -96.234068,41.219498,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FORT CALHOUN,68023,41.4592,3287,NE,45.76667,-96.0232,2571,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.072406,41.42185,0.0 -96.101549,41.414702,0.0 -96.075705,41.521377,0.0 -96.064708,41.517528,0.0 -96.042163,41.50708,0.0 -96.035564,41.51038,0.0 -95.934388,41.42515,0.0 -95.993224,41.418001,0.0 -96.024017,41.393257,0.0 -96.072406,41.42185,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FREMONT,68025,41.4365,29812,NE,139.08427,-96.5071,29490,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.329195,41.399856,0.0 -96.471061,41.393257,0.0 -96.418824,41.317375,0.0 -96.483159,41.306378,0.0 -96.52165,41.306928,0.0 -96.56014,41.37951,0.0 -96.60468,41.434498,0.0 -96.673964,41.480687,0.0 -96.674513,41.568116,0.0 -96.636572,41.495533,0.0 -96.559041,41.567016,0.0 -96.425422,41.480137,0.0 -96.329195,41.399856,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
GRETNA,68028,41.1103,5212,NE,63.80192,-96.261,5016,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.316548,41.125471,0.0 -96.305001,41.190355,0.0 -96.234068,41.190355,0.0 -96.215372,41.190355,0.0 -96.160385,41.148015,0.0 -96.176881,41.12657,0.0 -96.283006,41.021545,0.0 -96.316548,41.125471,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
HERMAN,68029,41.6479,943,NE,62.11568,-96.3193,911,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.405627,41.596159,0.0 -96.444668,41.683589,0.0 -96.328645,41.683589,0.0 -96.183479,41.683039,0.0 -96.30995,41.59286,0.0 -96.405627,41.596159,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
HOMER,68030,42.3189,793,NE,34.80053,-96.4444,795,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.357788,42.276349,0.0 -96.479859,42.276898,0.0 -96.509003,42.364878,0.0 -96.416624,42.364328,0.0 -96.357788,42.276349,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
HOOPER,68031,41.654,1838,NE,76.34291,-96.5026,1892,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.424872,41.596709,0.0 -96.559041,41.567016,0.0 -96.559041,41.741875,0.0 -96.555192,41.756721,0.0 -96.463363,41.741875,0.0 -96.444668,41.683589,0.0 -96.405627,41.596159,0.0 -96.424872,41.596709,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ITHACA,68033,41.1599,544,NE,42.05235,-96.5174,524,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.540345,41.088629,0.0 -96.56344,41.220048,0.0 -96.463913,41.218948,0.0 -96.463363,41.132069,0.0 -96.540345,41.088629,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
KENNARD,68034,41.458,736,NE,26.3536,-96.2151,727,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.204375,41.393257,0.0 -96.261561,41.494433,0.0 -96.155986,41.436697,0.0 -96.204375,41.393257,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LINWOOD,68036,41.3864,200,NE,45.58084,-96.9622,338,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.908208,41.37951,0.0 -96.907658,41.336071,0.0 -97.023131,41.336071,0.0 -97.020932,41.410853,0.0 -96.906009,41.454843,0.0 -96.906009,41.453193,0.0 -96.908208,41.37951,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LOUISVILLE,68037,40.9948,2343,NE,46.13765,-96.1249,2301,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.082853,40.95831,0.0 -96.177981,40.95776,0.0 -96.235717,40.979205,0.0 -96.235167,41.005599,0.0 -96.090551,41.054537,0.0 -96.082853,40.95831,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LYONS,68038,41.9642,1413,NE,83.05781,-96.4498,1473,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.347341,41.915634,0.0 -96.574437,41.93048,0.0 -96.554642,42.01626,0.0 -96.385832,42.031656,0.0 -96.347341,41.915634,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
MACY,68039,42.11,1460,NE,48.64026,-96.3448,1471,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.385832,42.045953,0.0 -96.405077,42.104239,0.0 -96.404527,42.191119,0.0 -96.34899,42.191119,0.0 -96.274208,42.047053,0.0 -96.385832,42.045953,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
MALMO,68040,41.2865,546,NE,49.03348,-96.7367,414,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.793835,41.249191,0.0 -96.77514,41.350367,0.0 -96.736649,41.350917,0.0 -96.678362,41.350917,0.0 -96.678912,41.249191,0.0 -96.716853,41.220048,0.0 -96.793835,41.249191,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
