BEANS PURCHASE,168,44.2908,4,NH,67.7694,-71.1202,4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-71.243269,44.244033,0.0 -71.220709,44.284026,0.0 -71.203618,44.31308,0.0 -71.202934,44.340426,0.0 -71.198491,44.340767,0.0 -71.189945,44.340767,0.0 -71.012883,44.344186,0.0 -71.010149,44.284709,0.0 -71.097654,44.235487,0.0 -71.243269,44.244033,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
SUCCESS,169,44.5125,2,NH,59.55423,-71.0774,2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-71.028607,44.610463,0.0 -71.018694,44.440579,0.0 -71.160891,44.450491,0.0 -71.123632,44.528426,0.0 -71.089109,44.610463,0.0 -71.028607,44.610463,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
SECOND COLLEGE GRANT,170,44.9132,0,NH,41.80214,-71.1071,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-71.046381,44.863409,0.0 -71.175589,44.857598,0.0 -71.152687,44.955016,0.0 -71.055952,44.973474,0.0 -71.046381,44.863409,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
HADLEYS PURCHASE,172,44.1256,0,NH,7.23857,-71.3336,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-71.308898,44.111749,0.0 -71.357437,44.163022,0.0 -71.333509,44.173276,0.0 -71.308898,44.111749,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CUTTS GRANT,173,44.2051,0,NH,11.09949,-71.3369,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-71.357437,44.163022,0.0 -71.373844,44.174302,0.0 -71.352993,44.223524,0.0 -71.346157,44.231044,0.0 -71.291124,44.240615,0.0 -71.333509,44.173276,0.0 -71.357437,44.163022,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BEANS GRANT,174,44.2229,0,NH,9.69058,-71.3769,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-71.373844,44.174302,0.0 -71.395378,44.21532,0.0 -71.411786,44.228309,0.0 -71.367691,44.276847,0.0 -71.352993,44.223524,0.0 -71.373844,44.174302,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
SARGENTS PURCHASE,176,44.2189,0,NH,25.64701,-71.3008,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-71.26036,44.228651,0.0 -71.306164,44.135676,0.0 -71.308898,44.111749,0.0 -71.333509,44.173276,0.0 -71.291124,44.240615,0.0 -71.346157,44.231044,0.0 -71.355727,44.267618,0.0 -71.30548,44.271036,0.0 -71.292833,44.276506,0.0 -71.241902,44.284026,0.0 -71.26036,44.228651,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
PINKHAM GRANT,177,44.2608,0,NH,3.63319,-71.2452,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-71.243269,44.244033,0.0 -71.26036,44.228651,0.0 -71.241902,44.284026,0.0 -71.239509,44.28676,0.0 -71.220709,44.284026,0.0 -71.243269,44.244033,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CHANDLERS PURCHASE,179,44.2613,0,NH,2.14147,-71.3587,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-71.346157,44.231044,0.0 -71.352993,44.223524,0.0 -71.367691,44.276847,0.0 -71.372135,44.293255,0.0 -71.363931,44.296673,0.0 -71.355727,44.267618,0.0 -71.346157,44.231044,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
THOMPSON/MESERVES PURCH,180,44.3013,0,NH,17.81669,-71.292,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-71.292833,44.276506,0.0 -71.30548,44.271036,0.0 -71.355727,44.267618,0.0 -71.363931,44.296673,0.0 -71.24532,44.339742,0.0 -71.230964,44.340084,0.0 -71.237458,44.313422,0.0 -71.239509,44.28676,0.0 -71.241902,44.284026,0.0 -71.292833,44.276506,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
