SIUSLAW NTL FOREST,68,44.1908,68,OR,69.86194,-123.906,70,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-123.905177,44.071674,0.0 -123.959614,44.071124,0.0 -123.957414,44.277326,0.0 -123.799602,44.283374,0.0 -123.953565,44.184947,0.0 -123.886481,44.127761,0.0 -123.905177,44.071674,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
WILLAMETTE NATIONAL FOR,69,43.8511,88,OR,1244.73994,-122.271,118,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-122.484312,43.837429,0.0 -122.619581,43.900665,0.0 -122.623979,44.058477,0.0 -122.610783,44.103017,0.0 -122.589338,44.103017,0.0 -122.343546,44.153605,0.0 -122.044966,44.063976,0.0 -122.109301,44.17505,0.0 -121.813471,44.25808,0.0 -121.799174,44.25808,0.0 -121.763433,44.08982,0.0 -121.975683,43.855575,0.0 -122.075209,43.874271,0.0 -122.060363,43.684566,0.0 -122.346845,43.851176,0.0 -122.462868,43.789041,0.0 -122.484312,43.837429,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-122.440323,43.687315,0.0 -122.140644,43.465167,0.0 -122.131846,43.440423,0.0 -122.740552,43.471216,0.0 -122.741652,43.524553,0.0 -122.7466,43.585589,0.0 -122.568443,43.681816,0.0 -122.440323,43.687315,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
MT HOOD NATIONAL FOREST,70,45.0892,512,OR,682.17066,-121.983,503,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.252817,45.068039,0.0 -122.253367,45.204956,0.0 -122.11205,45.298434,0.0 -121.94654,45.313281,0.0 -121.941591,45.343523,0.0 -121.910248,45.325928,0.0 -121.688651,45.285237,0.0 -121.696899,45.257744,0.0 -121.645211,45.085634,0.0 -121.793676,45.014701,0.0 -121.73484,44.888231,0.0 -122.276462,44.886581,0.0 -122.252817,45.068039,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
WILLAMETTE NATL FOREST,77,44.4549,153,OR,1068.15828,-122.208,152,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.842614,44.392248,0.0 -121.806323,44.25973,0.0 -121.799174,44.25808,0.0 -121.813471,44.25808,0.0 -122.329249,44.230587,0.0 -122.577241,44.228387,0.0 -122.647624,44.266878,0.0 -122.498609,44.353208,0.0 -122.479364,44.396097,0.0 -122.485962,44.432939,0.0 -122.62178,44.457683,0.0 -122.730654,44.556659,0.0 -122.630578,44.581404,0.0 -122.523353,44.650137,0.0 -122.339147,44.653437,0.0 -122.066411,44.655086,0.0 -121.794226,44.683679,0.0 -121.797525,44.646838,0.0 -121.842614,44.392248,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ANTELOPE,97001,44.8887,187,OR,269.58353,-120.795,185,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-120.469589,44.915175,0.0 -120.371712,44.821697,0.0 -120.915533,44.823346,0.0 -121.090392,44.823896,0.0 -120.995814,45.003704,0.0 -120.469589,44.915175,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
AURORA,97002,45.2378,6034,OR,43.39588,-122.799,5623,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.718007,45.300084,0.0 -122.727905,45.192859,0.0 -122.859324,45.186261,0.0 -122.890117,45.203307,0.0 -122.882418,45.255544,0.0 -122.849426,45.259943,0.0 -122.718007,45.300084,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BEAVERCREEK,97004,45.2512,4317,OR,42.17552,-122.455,3983,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.467267,45.186261,0.0 -122.520604,45.247846,0.0 -122.423827,45.297884,0.0 -122.36939,45.227501,0.0 -122.467267,45.186261,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BEAVERTON,97005,45.4914,23265,OR,4.88885,-122.804,22770,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.802687,45.517282,0.0 -122.772444,45.476042,0.0 -122.774094,45.472193,0.0 -122.826332,45.476592,0.0 -122.826332,45.489239,0.0 -122.815884,45.520032,0.0 -122.802687,45.517282,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BEAVERTON,97006,45.5172,54747,OR,12.13706,-122.859,52369,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.826332,45.489239,0.0 -122.912111,45.498037,0.0 -122.901114,45.515083,0.0 -122.867572,45.542027,0.0 -122.815884,45.520032,0.0 -122.826332,45.489239,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BEAVERTON,97008,45.4606,29219,OR,5.38875,-122.802,28799,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.826332,45.476592,0.0 -122.774094,45.472193,0.0 -122.816984,45.44085,0.0 -122.826332,45.476592,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
