ADAMS,37010,36.5697,3238,TN,72.76681,-87.1073,3085,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.126037,36.478068,0.0 -87.220193,36.541899,0.0 -87.14279,36.554835,0.0 -87.159755,36.641993,0.0 -87.085745,36.642841,0.0 -87.004737,36.644114,0.0 -86.987559,36.644326,0.0 -87.063478,36.562045,0.0 -87.007918,36.49673,0.0 -87.113525,36.535749,0.0 -87.126037,36.478068,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ALEXANDRIA,37012,36.0705,2039,TN,33.64724,-86.0082,1998,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.040271,35.988837,0.0 -86.058296,36.000713,0.0 -86.059781,36.085962,0.0 -85.961807,36.141735,0.0 -85.954597,36.063908,0.0 -86.028819,36.068573,0.0 -86.041119,36.006438,0.0 -85.983014,35.996471,0.0 -86.040271,35.988837,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ANTIOCH,37013,36.0406,52039,TN,41.23887,-86.6384,49822,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.68346,35.99117,0.0 -86.701698,36.009407,0.0 -86.685581,36.091264,0.0 -86.596514,36.089143,0.0 -86.561736,36.068361,0.0 -86.607753,35.981627,0.0 -86.68346,35.99117,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ARRINGTON,37014,35.8697,1329,TN,24.88902,-86.6566,1279,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.585487,35.850996,0.0 -86.59503,35.850996,0.0 -86.727145,35.849935,0.0 -86.734355,35.897225,0.0 -86.627263,35.908889,0.0 -86.580609,35.863931,0.0 -86.585487,35.850996,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ASHLAND CITY,37015,36.2831,16858,TN,162.83439,-87.0763,16569,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-86.976108,36.338954,0.0 -86.990316,36.278304,0.0 -86.891283,36.261975,0.0 -86.972079,36.21108,0.0 -87.249034,36.365038,0.0 -87.161028,36.43926,0.0 -87.170995,36.341287,0.0 -87.081928,36.363766,0.0 -86.976108,36.338954,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.074081,36.167395,0.0 -87.178417,36.228257,0.0 -87.152757,36.303964,0.0 -86.983742,36.208747,0.0 -86.999435,36.186692,0.0 -87.043968,36.139402,0.0 -87.074081,36.167395,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
AUBURNTOWN,37016,35.9639,1009,TN,26.36424,-86.1206,982,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.075049,35.964874,0.0 -86.12446,35.914615,0.0 -86.188079,35.987353,0.0 -86.058296,36.000713,0.0 -86.040271,35.988837,0.0 -86.075049,35.964874,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BEECHGROVE,37018,35.6471,1626,TN,35.99805,-86.193,1586,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.186383,35.594186,0.0 -86.245761,35.608395,0.0 -86.246821,35.631934,0.0 -86.2025,35.703187,0.0 -86.120431,35.660987,0.0 -86.186383,35.594186,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BELFAST,37019,35.3874,656,TN,16.00151,-86.7157,643,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.75535,35.336105,0.0 -86.741566,35.435563,0.0 -86.681552,35.396543,0.0 -86.75535,35.336105,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BELL BUCKLE,37020,35.6279,3818,TN,103.12062,-86.3949,3724,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.545407,35.603729,0.0 -86.523776,35.6788,0.0 -86.50257,35.68601,0.0 -86.415836,35.715911,0.0 -86.246821,35.631934,0.0 -86.245761,35.608395,0.0 -86.369182,35.56577,0.0 -86.417744,35.541595,0.0 -86.433225,35.62748,0.0 -86.502994,35.567466,0.0 -86.545407,35.603729,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BETHPAGE,37022,36.4981,4828,TN,87.11334,-86.3091,4701,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.178324,36.51115,0.0 -86.242368,36.40533,0.0 -86.338432,36.439897,0.0 -86.399295,36.480613,0.0 -86.381906,36.598308,0.0 -86.178324,36.51115,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
