NATIONAL FOREST/PARK,72,48.8168,116,WA,1377.85063,-121.36,121,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.729891,48.643293,0.0 -121.961936,48.644943,0.0 -121.954238,48.934175,0.0 -121.949839,49.000159,0.0 -120.851199,49.000159,0.0 -120.659844,48.726874,0.0 -120.752222,48.65759,0.0 -121.514892,48.642194,0.0 -121.729891,48.643293,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
USDOE HANFORD SITE,73,46.5168,5,WA,428.0426,-119.533,4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.398992,46.370681,0.0 -119.416038,46.379479,0.0 -119.591446,46.37453,0.0 -119.7872,46.444913,0.0 -119.800397,46.62912,0.0 -119.486971,46.7116,0.0 -119.268123,46.409721,0.0 -119.398992,46.370681,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
YAKIMA INDIAN RES,74,46.2379,500,WA,1583.75693,-120.922,428,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.52369,46.044058,0.0 -121.52369,46.388277,0.0 -121.391171,46.393775,0.0 -121.423063,46.492752,0.0 -120.894638,46.519695,0.0 -120.652146,46.503199,0.0 -120.544371,46.489453,0.0 -120.691186,46.448212,0.0 -120.691186,46.443813,0.0 -120.859996,46.445463,0.0 -120.862196,46.327241,0.0 -120.622453,46.316793,0.0 -120.225446,46.314044,0.0 -120.163861,46.222216,0.0 -120.199603,46.07815,0.0 -120.331021,46.041309,0.0 -120.340369,46.041309,0.0 -121.175072,46.044608,0.0 -121.446708,46.044608,0.0 -121.52369,46.044058,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
OKANOGAN NATL PARK,76,48.8402,30,WA,733.72343,-120.409,46,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-120.701634,48.53167,0.0 -120.752222,48.65759,0.0 -120.659844,48.726874,0.0 -120.851199,49.000159,0.0 -119.919169,49.000159,0.0 -119.931816,48.770313,0.0 -120.074232,48.694431,0.0 -120.345318,48.86764,0.0 -120.509729,48.652091,0.0 -120.454192,48.596555,0.0 -120.654895,48.522872,0.0 -120.701634,48.53167,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LONG ISLAND,195,46.4502,0,WA,8.3092,-123.967,0,
FEDERAL WAY,98003,47.3053,41949,WA,11.75271,-122.314,41662,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.334748,47.259271,0.0 -122.335848,47.26367,0.0 -122.334748,47.342851,0.0 -122.32485,47.348899,0.0 -122.312203,47.351649,0.0 -122.296257,47.357697,0.0 -122.293508,47.257071,0.0 -122.334748,47.259271,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BELLEVUE,98006,47.5571,35477,WA,10.91765,-122.147,34925,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.165938,47.537505,0.0 -122.19673,47.545753,0.0 -122.188482,47.578745,0.0 -122.187933,47.579295,0.0 -122.169237,47.580395,0.0 -122.135145,47.578745,0.0 -122.1148,47.572147,0.0 -122.124148,47.528707,0.0 -122.165938,47.537505,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BELLEVUE,98008,47.6051,24059,WA,8.59646,-122.111,24179,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.082357,47.615037,0.0 -122.090056,47.578195,0.0 -122.1148,47.572147,0.0 -122.135145,47.578745,0.0 -122.134045,47.631533,0.0 -122.079058,47.628233,0.0 -122.082357,47.615037,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BLACK DIAMOND,98010,47.3208,4682,WA,18.11935,-121.995,4590,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.937742,47.322506,0.0 -121.989429,47.286764,0.0 -122.040018,47.310958,0.0 -122.053764,47.3478,0.0 -122.016373,47.3456,0.0 -121.937742,47.322506,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BOTHELL,98011,47.7531,26786,WA,8.17754,-122.201,26697,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.245119,47.731609,0.0 -122.233022,47.776698,0.0 -122.169237,47.776148,0.0 -122.175286,47.737108,0.0 -122.245119,47.731609,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
CARNATION,98014,47.6588,7041,WA,41.15686,-121.905,6862,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.831617,47.694218,0.0 -121.961386,47.60129,0.0 -122.005926,47.709064,0.0 -121.831617,47.694218,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
DUVALL,98019,47.738,8411,WA,103.58354,-121.794,8188,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.584725,47.776698,0.0 -121.590224,47.706865,0.0 -121.831617,47.694218,0.0 -122.005926,47.709064,0.0 -122.013624,47.709064,0.0 -122.000427,47.775049,0.0 -121.838215,47.776148,0.0 -121.666656,47.773949,0.0 -121.584725,47.776698,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
EDMONDS,98020,47.7998,18578,WA,5.20621,-122.373,18184,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.356193,47.777798,0.0 -122.361142,47.777798,0.0 -122.395234,47.777798,0.0 -122.364441,47.830036,0.0 -122.356193,47.777798,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BOTHELL,98021,47.7924,21673,WA,10.11144,-122.208,22481,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.164838,47.808591,0.0 -122.169237,47.776148,0.0 -122.233022,47.776698,0.0 -122.266564,47.777248,0.0 -122.237421,47.816839,0.0 -122.164838,47.808591,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ENUMCLAW,98022,47.1746,22309,WA,556.89213,-121.642,21865,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.379624,47.086611,0.0 -121.52204,46.874362,0.0 -121.455506,46.783633,0.0 -121.532487,46.783633,0.0 -121.554482,46.783633,0.0 -121.585275,47.075064,0.0 -122.123598,47.238925,0.0 -121.989429,47.286764,0.0 -121.937742,47.322506,0.0 -121.824468,47.369245,0.0 -121.43516,47.293912,0.0 -121.338383,47.273567,0.0 -121.379624,47.086611,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
FEDERAL WAY,98023,47.3093,49272,WA,10.92283,-122.363,48611,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.335848,47.26367,0.0 -122.419428,47.321406,0.0 -122.334748,47.342851,0.0 -122.335848,47.26367,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
KENMORE,98028,47.7554,18763,WA,5.71021,-122.244,18437,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.261615,47.758003,0.0 -122.271513,47.777248,0.0 -122.266564,47.777248,0.0 -122.233022,47.776698,0.0 -122.245119,47.731609,0.0 -122.264914,47.734358,0.0 -122.261615,47.758003,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
ISSAQUAH,98029,47.561,15022,WA,11.06006,-122.009,14440,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.970184,47.555651,0.0 -122.081258,47.575446,0.0 -121.972933,47.60019,0.0 -121.961386,47.60019,0.0 -121.970184,47.555651,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
KENT,98031,47.3857,66020,WA,16.62195,-122.197,65403,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.161539,47.419283,0.0 -122.165388,47.3456,0.0 -122.205528,47.343401,0.0 -122.229173,47.353848,0.0 -122.219825,47.441278,0.0 -122.186283,47.426431,0.0 -122.161539,47.419283,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
KENT,98032,47.3907,30728,WA,17.92806,-122.261,30042,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.312203,47.351649,0.0 -122.286359,47.421482,0.0 -122.24182,47.441278,0.0 -122.219825,47.441278,0.0 -122.229173,47.353848,0.0 -122.226973,47.34615,0.0 -122.296257,47.357697,0.0 -122.312203,47.351649,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
KIRKLAND,98034,47.7178,40040,WA,9.26871,-122.206,39885,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.153291,47.732709,0.0 -122.164288,47.701916,0.0 -122.210477,47.700816,0.0 -122.264914,47.734358,0.0 -122.245119,47.731609,0.0 -122.175286,47.737108,0.0 -122.153291,47.732709,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LYNNWOOD,98036,47.8109,33494,WA,9.5836,-122.282,32756,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.271513,47.777248,0.0 -122.287459,47.777248,0.0 -122.329249,47.803092,0.0 -122.330899,47.828936,0.0 -122.243469,47.829486,0.0 -122.237421,47.816839,0.0 -122.266564,47.777248,0.0 -122.271513,47.777248,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LYNNWOOD,98037,47.8514,41132,WA,11.48701,-122.276,41445,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.243469,47.829486,0.0 -122.330899,47.828936,0.0 -122.291308,47.874575,0.0 -122.28416,47.888322,0.0 -122.244569,47.871276,0.0 -122.228073,47.865227,0.0 -122.243469,47.829486,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
MAPLE VALLEY,98038,47.4043,22209,WA,31.14556,-122.02,21898,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.053764,47.3478,0.0 -122.088406,47.393989,0.0 -122.076309,47.454474,0.0 -122.054314,47.463822,0.0 -121.925095,47.414884,0.0 -122.016373,47.3456,0.0 -122.053764,47.3478,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
MEDINA,98039,47.6255,3006,WA,1.43553,-122.234,2974,
PACIFIC,98047,47.2617,4985,WA,2.14708,-122.248,4920,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.229723,47.265869,0.0 -122.229723,47.257071,0.0 -122.262715,47.257621,0.0 -122.228623,47.271918,0.0 -122.229723,47.265869,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
