LAKE MEMPHREMAGOG,82,44.9817,10,VT,8.12703,-72.2188,13,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-72.2113,45.005263,0.0 -72.235228,44.959118,0.0 -72.255395,45.00458,0.0 -72.2113,45.005263,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
WARNERS GRANT,190,44.922,0,VT,3.23075,-71.9129,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-71.895801,44.94442,0.0 -71.9105,44.895198,0.0 -71.921096,44.932114,0.0 -71.917678,44.943736,0.0 -71.895801,44.94442,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
WEST WARREN GORE,191,44.9113,10,VT,11.71276,-71.8759,10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-71.895801,44.94442,0.0 -71.846238,44.945103,0.0 -71.858543,44.863067,0.0 -71.874609,44.876398,0.0 -71.9105,44.895198,0.0 -71.895801,44.94442,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
LEWIS MCD,192,44.8664,0,VT,40.75042,-71.7504,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-71.741983,44.805983,0.0 -71.838376,44.85247,0.0 -71.766936,44.932798,0.0 -71.663365,44.879132,0.0 -71.741983,44.805983,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
WHITE RIVER JUNCTION,5001,43.6722,10741,VT,53.07918,-72.3861,10694,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-72.305984,43.683792,0.0 -72.328202,43.606199,0.0 -72.354181,43.60278,0.0 -72.455017,43.6291,0.0 -72.465955,43.658497,0.0 -72.462879,43.708061,0.0 -72.426304,43.721733,0.0 -72.398617,43.742584,0.0 -72.305984,43.683792,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BETHEL,5032,43.8111,2936,VT,86.33674,-72.6721,2906,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-72.692923,43.693704,0.0 -72.675832,43.774032,0.0 -72.7524,43.777108,0.0 -72.783163,43.806163,0.0 -72.707963,43.911101,0.0 -72.617723,43.886832,0.0 -72.564741,43.87145,0.0 -72.627294,43.809581,0.0 -72.597556,43.723101,0.0 -72.674807,43.688577,0.0 -72.692923,43.693704,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BRADFORD,5033,44.0064,2745,VT,31.64849,-72.163,2672,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-72.242406,43.975363,0.0 -72.243431,43.97673,0.0 -72.204464,44.039283,0.0 -72.179511,44.058083,0.0 -72.092005,44.024585,0.0 -72.098842,43.957588,0.0 -72.115933,43.947334,0.0 -72.242406,43.975363,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BRIDGEWATER,5034,43.575,120,VT,3.17684,-72.643,118,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-72.620457,43.586373,0.0 -72.634814,43.558002,0.0 -72.646436,43.560737,0.0 -72.631054,43.588082,0.0 -72.620457,43.586373,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BRIDGEWATER CORNERS,5035,43.6029,831,VT,35.20509,-72.6866,722,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-72.646436,43.560737,0.0 -72.653272,43.515275,0.0 -72.757527,43.588082,0.0 -72.700101,43.680373,0.0 -72.692923,43.693704,0.0 -72.674807,43.688577,0.0 -72.631054,43.588082,0.0 -72.646436,43.560737,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
BROOKFIELD,5036,44.033,642,VT,20.93919,-72.5879,642,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-72.535003,44.061501,0.0 -72.557221,43.979123,0.0 -72.568159,43.981858,0.0 -72.624901,43.996898,0.0 -72.635839,44.072098,0.0 -72.535003,44.061501,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
