GCT_STUB.display-label,HD01
Geographic area,Population
Maryland,5773552(r42264)
"Aberdeen city, Harford County",14959
"Aberdeen Proving Ground CDP, Harford County",2093
"Accident town, Garrett County",325
"Accokeek CDP, Prince George's County",10573
"Adamstown CDP, Frederick County",2372
"Adelphi CDP, Prince George's County",15086
"Algonquin CDP, Dorchester County",1241
"Allen CDP, Wicomico County",210
"Andrews AFB CDP, Prince George's County",2973
"Annapolis city, Anne Arundel County",38394
"Annapolis Neck CDP, Anne Arundel County",10950
"Antietam CDP, Washington County",89
"Aquasco CDP, Prince George's County",981
"Arbutus CDP, Baltimore County",20483(r44981)
"Arden on the Severn CDP, Anne Arundel County",1953
"Arnold CDP, Anne Arundel County",23106
"Ashton-Sandy Spring CDP, Montgomery County",5628
"Aspen Hill CDP, Montgomery County",48759
"Baden CDP, Prince George's County",2128
"Bagtown CDP, Washington County",333
"Bakersville CDP, Washington County",30
"Ballenger Creek CDP, Frederick County",18274
Baltimore city,620961(r44982)
"Baltimore Highlands CDP, Baltimore County",7019
"Barclay town, Queen Anne's County",120
"Barnesville town, Montgomery County",172
"Barrelville CDP, Allegany County",73
"Barton town, Allegany County",457
"Bartonsville CDP, Frederick County",1451
"Beaver Creek CDP, Washington County",251
"Bel Air CDP, Allegany County",1258
"Bel Air town, Harford County",10120
"Bel Air North CDP, Harford County",30568
"Bel Air South CDP, Harford County",47709
"Beltsville CDP, Prince George's County",16772
"Benedict CDP, Charles County",261
"Bensville CDP, Charles County",11923
"Berlin town, Worcester County",4485
"Berwyn Heights town, Prince George's County",3123
"Bethesda CDP, Montgomery County",60858
"Betterton town, Kent County",345
"Bier CDP, Allegany County",173
"Big Pool CDP, Washington County",82
"Big Spring CDP, Washington County",84
"Bishopville CDP, Worcester County",531
"Bivalve CDP, Wicomico County",201
"Bladensburg town, Prince George's County",9148
"Bloomington CDP, Garrett County",305
"Boonsboro town, Washington County",3336
"Bowie city, Prince George's County",54727
"Bowleys Quarters CDP, Baltimore County",6755
"Bowling Green CDP, Allegany County",1077
"Bowmans Addition CDP, Allegany County",627
"Braddock Heights CDP, Frederick County",2608
"Brandywine CDP, Prince George's County",6719
"Breathedsville CDP, Washington County",254
"Brentwood town, Prince George's County",3046
"Brock Hall CDP, Prince George's County",9552
"Brookeville town, Montgomery County",134
"Brooklyn Park CDP, Anne Arundel County",14373
"Brookmont CDP, Montgomery County",3468
"Brookview town, Dorchester County",60
"Broomes Island CDP, Calvert County",405
"Brownsville CDP, Washington County",89
"Brunswick city, Frederick County",5870
"Bryans Road CDP, Charles County",7244
"Bryantown CDP, Charles County",655
"Buckeystown CDP, Frederick County",1019
"Burkittsville town, Frederick County",151
"Burtonsville CDP, Montgomery County",8323
"Butlertown CDP, Kent County",505
"Cabin John CDP, Montgomery County",2280
"California CDP, St. Mary's County",11857
"Calvert Beach CDP, Calvert County",808
Calverton CDP,17724
Montgomery County (part),11561
Prince George's County (part),6163
"Cambridge city, Dorchester County",12326
"Camp Springs CDP, Prince George's County",19096
"Cape St. Claire CDP, Anne Arundel County",8747
"Capitol Heights town, Prince George's County",4337
"Carlos CDP, Allegany County",153
"Carney CDP, Baltimore County",29941
"Catonsville CDP, Baltimore County",41567(r44983)
"Cavetown CDP, Washington County",1473
"Cearfoss CDP, Washington County",178
"Cecilton town, Cecil County",663
"Cedarville CDP, Prince George's County",717
"Centreville town, Queen Anne's County",4285
"Chance CDP, Somerset County",353
"Charlestown town, Cecil County",1183
"Charlotte Hall CDP, St. Mary's County",1420
"Charlton CDP, Washington County",171
"Chesapeake Beach town, Calvert County",5753
"Chesapeake City town, Cecil County",673
"Chesapeake Ranch Estates CDP, Calvert County",10519
"Chester CDP, Queen Anne's County",4167
"Chestertown town, Kent County",5252
"Cheverly town, Prince George's County",6173
"Chevy Chase town, Montgomery County",2824
"Chevy Chase CDP, Montgomery County",9545
"Chevy Chase Section Five village, Montgomery County",658
"Chevy Chase Section Three village, Montgomery County",760
"Chevy Chase View town, Montgomery County",920
"Chevy Chase Village town, Montgomery County",1953
"Chewsville CDP, Washington County",238
"Chillum CDP, Prince George's County",33513
"Choptank CDP, Caroline County",129
"Church Creek town, Dorchester County",125
"Church Hill town, Queen Anne's County",745
"Clarksburg CDP, Montgomery County",13766
"Clarysville CDP, Allegany County",73
"Clear Spring town, Washington County",358
"Clinton CDP, Prince George's County",35970
"Cloverly CDP, Montgomery County",15126
"Cobb Island CDP, Charles County",1166
"Cockeysville CDP, Baltimore County",20776
"Colesville CDP, Montgomery County",14647
"College Park city, Prince George's County",30413
"Colmar Manor town, Prince George's County",1404
"Columbia CDP, Howard County",99615
"Coral Hills CDP, Prince George's County",9895
"Cordova CDP, Talbot County",562
"Corriganville CDP, Allegany County",455
"Cottage City town, Prince George's County",1305
"Crellin CDP, Garrett County",264
"Cresaptown CDP, Allegany County",4592(r44984)
"Crisfield city, Somerset County",2726
"Crofton CDP, Anne Arundel County",27348
"Croom CDP, Prince George's County",2631
"Crownsville CDP, Anne Arundel County",1757
"Cumberland city, Allegany County",20859
"Damascus CDP, Montgomery County",15257
"Dames Quarter CDP, Somerset County",167
"Danville CDP, Allegany County",271
"Dargan CDP, Washington County",165
"Darlington CDP, Harford County",409
"Darnestown CDP, Montgomery County",6802
"Dawson CDP, Allegany County",103
"Deale CDP, Anne Arundel County",4945
"Deal Island CDP, Somerset County",471
"Deer Park town, Garrett County",399
"Delmar town, Wicomico County",3003
"Denton town, Caroline County",4418
"Derwood CDP, Montgomery County",2381
"Detmold CDP, Allegany County",71
"District Heights city, Prince George's County",5837
"Downsville CDP, Washington County",355
"Drum Point CDP, Calvert County",2731
"Dundalk CDP, Baltimore County",63597
"Dunkirk CDP, Calvert County",2520
"Eagle Harbor town, Prince George's County",63
"Eakles Mill CDP, Washington County",27
"East New Market town, Dorchester County",400
"Easton town, Talbot County",15945
"East Riverdale CDP, Prince George's County",15509
"Eckhart Mines CDP, Allegany County",932
"Eden CDP, Somerset County",823
"Edesville CDP, Kent County",169
"Edgemere CDP, Baltimore County",8669
"Edgemont CDP, Washington County",231
"Edgewater CDP, Anne Arundel County",9023
"Edgewood CDP, Harford County",25562
"Edmonston town, Prince George's County",1445
"Eldersburg CDP, Carroll County",30531
"Eldorado town, Dorchester County",59
"Elkridge CDP, Howard County",15593
"Elkton town, Cecil County",15443
"Ellerslie CDP, Allegany County",572
"Ellicott City CDP, Howard County",65834
"Elliott CDP, Dorchester County",52
"Emmitsburg town, Frederick County",2814
"Ernstville CDP, Washington County",56
"Essex CDP, Baltimore County",39262
"Fairland CDP, Montgomery County",23681
"Fairlee CDP, Kent County",490
"Fairmount CDP, Somerset County",457
"Fairmount Heights town, Prince George's County",1494
"Fairplay CDP, Washington County",580
"Fairview CDP, Washington County",76
"Fairwood CDP, Prince George's County",5031
"Fallston CDP, Harford County",8958
"Federalsburg town, Caroline County",2739
"Ferndale CDP, Anne Arundel County",16746
"Finzel CDP, Garrett County",547
"Fishing Creek CDP, Dorchester County",163
"Flintstone CDP, Allegany County",177
"Forest Glen CDP, Montgomery County",6582
"Forest Heights town, Prince George's County",2447
"Forestville CDP, Prince George's County",12353
"Fort Meade CDP, Anne Arundel County",9327
"Fort Ritchie CDP, Washington County",314
"Fort Washington CDP, Prince George's County",23717
"Fountainhead-Orchard Hills CDP, Washington County",5666
"Four Corners CDP, Montgomery County",7945
"Franklin CDP, Allegany County",290
"Frederick city, Frederick County",65239
"Frenchtown-Rumbly CDP, Somerset County",100
"Friendly CDP, Prince George's County",9250
"Friendship CDP, Anne Arundel County",447
"Friendship Heights Village CDP, Montgomery County",4698
"Friendsville town, Garrett County",491
"Frostburg city, Allegany County",9002
"Fruitland city, Wicomico County",4866
"Fulton CDP, Howard County",2049
"Funkstown town, Washington County",904
"Gaithersburg city, Montgomery County",59933
"Galena town, Kent County",612
"Galestown town, Dorchester County",138
"Galesville CDP, Anne Arundel County",684
"Gambrills CDP, Anne Arundel County",2800
"Gapland CDP, Washington County",109
"Garrett Park town, Montgomery County",992
"Garretts Mill CDP, Washington County",234
"Garrison CDP, Baltimore County",8823
"Georgetown CDP, Kent County",143
"Germantown CDP, Montgomery County",86395
"Gilmore CDP, Allegany County",127
"Girdletree CDP, Worcester County",149
"Glassmanor CDP, Prince George's County",17295
"Glenarden city, Prince George's County",6000
"Glen Burnie CDP, Anne Arundel County",67639
"Glen Echo town, Montgomery County",255
"Glenmont CDP, Montgomery County",13529
"Glenn Dale CDP, Prince George's County",13466
"Golden Beach CDP, St. Mary's County",3796
"Goldsboro town, Caroline County",246
"Gorman CDP, Garrett County",106
"Grahamtown CDP, Allegany County",364
"Grantsville town, Garrett County",766
"Grasonville CDP, Queen Anne's County",3425
"Greenbelt city, Prince George's County",23068
"Greensboro town, Caroline County",1931
"Greensburg CDP, Washington County",229
"Hagerstown city, Washington County",39662
"Halfway CDP, Washington County",10701
"Hampstead town, Carroll County",6323
"Hampton CDP, Baltimore County",5052
"Hancock town, Washington County",1545
"Havre de Grace city, Harford County",12952
"Hebron town, Wicomico County",1084
"Henderson town, Caroline County",146
"Herald Harbor CDP, Anne Arundel County",2603
"Highfield-Cascade CDP, Washington County",1112
"Highland CDP, Howard County",1034
"Highland Beach town, Anne Arundel County",96
Hillandale CDP,6043
Montgomery County (part),4115
Prince George's County (part),1928
"Hillcrest Heights CDP, Prince George's County",16469
"Hillsboro town, Caroline County",161
"Hughesville CDP, Charles County",2197
"Huntingtown CDP, Calvert County",3311
"Hurlock town, Dorchester County",2092
"Hutton CDP, Garrett County",86
"Hyattsville city, Prince George's County",17557
"Ilchester CDP, Howard County",23476
"Indian Head town, Charles County",3844
"Indian Springs CDP, Washington County",64
"Jarrettsville CDP, Harford County",2916
"Jefferson CDP, Frederick County",2111
"Jennings CDP, Garrett County",113
Jessup CDP,7137
Anne Arundel County (part),5649
Howard County (part),1488
"Jesterville CDP, Wicomico County",188
"Joppatowne CDP, Harford County",12616
"Jugtown CDP, Washington County",204
"Keedysville town, Washington County",1152
"Kemp Mill CDP, Montgomery County",12564
"Kemps Mill CDP, Washington County",126
"Kennedyville CDP, Kent County",199
"Kensington town, Montgomery County",2213(r44985)
"Kent Narrows CDP, Queen Anne's County",567
"Kettering CDP, Prince George's County",12790
"Kingstown CDP, Queen Anne's County",1733
"Kingsville CDP, Baltimore County",4318
"Kitzmiller town, Garrett County",321
"Klondike CDP, Allegany County",118
"Konterra CDP, Prince George's County",2527
"Lake Arbor CDP, Prince George's County",9776
"Lake Shore CDP, Anne Arundel County",19477
"Landover CDP, Prince George's County",23078
"Landover Hills town, Prince George's County",1687
"Langley Park CDP, Prince George's County",18755
"Lanham CDP, Prince George's County",10157
"Lansdowne CDP, Baltimore County",8409(r44986)
"La Plata town, Charles County",8753
"Largo CDP, Prince George's County",10709
"Laurel city, Prince George's County",25115
"La Vale CDP, Allegany County",3551
"Layhill CDP, Montgomery County",5169
"Laytonsville town, Montgomery County",353
"Leisure World CDP, Montgomery County",8749
"Leitersburg CDP, Washington County",573
"Leonardtown town, St. Mary's County",2930
"Lexington Park CDP, St. Mary's County",11626
"Libertytown CDP, Frederick County",950
"Linganore CDP, Frederick County",8543
"Linthicum CDP, Anne Arundel County",10324
"Little Orleans CDP, Allegany County",42
"Lochearn CDP, Baltimore County",25333
"Loch Lynn Heights town, Garrett County",552
"Lonaconing town, Allegany County",1214
"Long Beach CDP, Calvert County",1821
"Luke town, Allegany County",65
"Lusby CDP, Calvert County",1835
"Lutherville CDP, Baltimore County",6504
"McCoole CDP, Allegany County",511
"Madison CDP, Dorchester County",204
"Manchester town, Carroll County",4808
"Mapleville CDP, Washington County",238
"Mardela Springs town, Wicomico County",347
"Marlboro Meadows CDP, Prince George's County",3672
"Marlboro Village CDP, Prince George's County",9438
"Marlow Heights CDP, Prince George's County",5618
"Marlton CDP, Prince George's County",9031
"Martin's Additions village, Montgomery County",933
"Marydel town, Caroline County",141
